case_id,worker_index,nfp,n_base_coils,status,score,iota_min,iota_max,score_wall_s
0,0,4,1,no_surface,0.27705444960388265,nan,nan,2.045518606901169
1,1,5,1,no_axis,0.12398744429188052,nan,nan,3.2779840379953384
2,2,6,1,no_surface,0.30769233970547194,nan,nan,2.371765438467264
3,3,7,1,no_axis,0.12448766279192941,nan,nan,3.8322075651958585
4,4,8,1,ok,7.081282127184123,1.5692538281722874,1.7150631546974182,2.791664337273687
5,5,2,2,no_axis,0.12351035081315145,nan,nan,2.8529432830400765
6,0,3,2,no_axis,0.12152060170497875,nan,nan,2.8888255059719086
7,1,4,2,no_surface,0.30737398234295393,nan,nan,1.983704786747694
8,2,5,2,no_surface,0.3213123835111922,nan,nan,2.057554755359888
9,3,6,2,flux_rejected,0.3193774917842432,nan,nan,2.5477939839474857
10,4,7,2,ok,25.212721884948692,0.6336015462875366,0.740764256654443,2.788428217638284
11,5,8,2,ok,31.28242113309612,1.2989413738250732,1.453227488007377,3.1812374787405133
12,0,2,3,no_axis,0.1234102557338489,nan,nan,2.8896739035844803
13,1,3,3,no_axis,0.11843764813386314,nan,nan,3.6410712003707886
14,2,4,3,ok,2.3913122249732512,0.6020131707191467,0.7334786478339687,2.4257323890924454
15,3,5,3,no_axis,0.1094938427454763,nan,nan,5.241219375282526
16,4,6,3,ok,7.132665535288184,1.3229303359985352,1.7925937229917197,3.2956867748871446
17,5,7,3,ok,61.847069479558094,1.092385439523778,1.1106110140681267,3.732717314735055
18,0,8,3,ok,52.08279295450676,0.8838053883769926,0.9431932866573334,4.131262328475714
19,1,2,4,no_axis,0.1202462771246221,nan,nan,3.380828734487295
20,2,3,4,no_surface,0.2503320614647468,nan,nan,2.335495986044407
21,3,4,4,ok,3.778445982971144,0.6883183419704437,0.7174651357249395,3.032185739837587
22,4,5,4,ok,34.84456104674652,1.0378478565805846,1.0521470191888511,3.6515306923538446
23,5,6,4,ok,64.58514543669116,0.9654980709625378,0.9908959865570068,4.084189353045076
24,0,7,4,ok,69.1031052282417,1.101790621502397,1.1427964866161346,4.72071848064661
25,1,8,4,ok,68.70515095487461,1.5693154694756397,1.683314323425293,5.219230867922306
26,2,4,1,no_surface,0.2894129720029269,nan,nan,1.1881514638662338
27,3,5,1,ok,1.0667077404783842,0.42823582887649536,0.535040337207543,1.513132757972926
28,4,6,1,ok,4.374483161189709,0.8103855550289154,0.8608613929055721,1.6819020872935653
29,5,7,1,flux_rejected,0.32391445061761437,nan,nan,1.725691496860236
30,0,8,1,ok,6.746954942854221,1.305744291854135,1.3194639701396227,1.9072182588279247
31,1,2,2,no_axis,0.12140921860927788,nan,nan,2.1669154278934
32,2,3,2,no_axis,0.12333337231498497,nan,nan,2.8480290435254574
