trajectory_id,case_id,worker_index,nfp,n_base_coils,initial_score,initial_iota_sign,best_score,best_iteration,best_iota_sign,final_score,final_iota_sign,trajectory_wall_s
axisflip_case_0000004,4,4,8,1,7.0819930894062795,positive,64.54180576363876,200,positive,64.54180576363876,positive,678.3128108959645
axisflip_case_0000010,10,4,7,2,25.21154276877735,positive,77.76678909647954,200,positive,77.76678909647954,positive,920.7933450681157
axisflip_case_0000011,11,5,8,2,31.293492403947948,positive,74.734511624834,179,positive,74.38770224546614,positive,994.5214498480782
axisflip_case_0000014,14,2,4,3,2.3923067755731258,positive,12.09261738961974,119,positive,12.092617389619534,positive,673.382184997201
axisflip_case_0000016,16,4,6,3,7.132807786797915,positive,79.32446459479563,183,positive,78.72911527839187,positive,1079.0438367389143
axisflip_case_0000017,17,5,7,3,61.84936329718974,positive,78.65174060906409,155,positive,77.11193364686454,positive,1211.499040113762
axisflip_case_0000018,18,0,8,3,52.08514366164526,positive,81.82583733832878,195,positive,81.53616254922356,positive,1338.3311092667282
axisflip_case_0000021,21,3,4,4,3.7773929652866327,positive,78.78056021528228,196,positive,77.78650897890044,positive,996.6606082278304
axisflip_case_0000022,22,4,5,4,34.84841075960537,positive,78.80194760593324,194,positive,78.75501935796927,positive,1171.3360497551039
axisflip_case_0000023,23,5,6,4,64.58797400220045,positive,80.32747301555956,174,positive,79.39014904714728,positive,1333.6265927581117
axisflip_case_0000024,24,0,7,4,69.0999623357951,positive,80.58557918969339,149,positive,78.92046907905761,positive,1539.8287953659892
axisflip_case_0000025,25,1,8,4,68.69182362885107,positive,78.94635809057165,50,positive,70.83664245840036,positive,1680.9783697240055
axisflip_case_0000027,27,3,5,1,1.0663782862489861,positive,1.709200413703779,164,positive,1.709200413703778,positive,975.1508010178804
axisflip_case_0000028,28,4,6,1,4.374652274791171,positive,12.32055117407637,200,positive,12.32055117407637,positive,508.83226664783433
axisflip_case_0000030,30,0,8,1,6.74696778109528,positive,21.518741994820786,77,positive,21.51874199482034,positive,594.7528877966106
axisflip_case_0000033,33,3,4,2,2.4098394253623217,positive,4.172314952562888,4,positive,4.057759212530214,positive,1063.4710686109029
axisflip_case_0000034,34,4,5,2,5.812003259636015,positive,14.071513283767576,172,positive,14.071513283767315,positive,600.2968280208297
axisflip_case_0000035,35,5,6,2,37.74210053418716,positive,70.99381549823319,200,positive,70.99381549823319,positive,833.2052533230744
axisflip_case_0000036,36,0,7,2,38.69463210703336,positive,76.99285946371909,193,positive,74.66060971979476,positive,931.3846471495926
axisflip_case_0000041,41,5,5,3,5.726146432066139,positive,78.67668102170425,197,positive,76.69786333781023,positive,950.8385930187069
axisflip_case_0000042,42,0,6,3,22.20983202033778,positive,79.44507573225808,198,positive,79.1957802527888,positive,1101.7585350684822
axisflip_case_0000043,43,1,7,3,17.865963432748643,positive,79.30479384110008,193,positive,78.59192291322002,positive,1222.164503864944
axisflip_case_0000044,44,2,8,3,45.326639159149444,positive,81.35924412086506,65,positive,77.37523508006927,positive,1361.193230561912
axisflip_case_0000048,48,0,5,4,15.049998066598267,positive,80.3210017221688,200,positive,80.3210017221688,positive,1180.818063315004
axisflip_case_0000049,49,1,6,4,66.40871490392384,positive,79.65111587238934,198,positive,79.58957516570536,positive,1336.4735442325473
axisflip_case_0000050,50,2,7,4,66.14361832950925,positive,79.9008223512616,196,positive,79.77548523690163,positive,1515.581197205931
axisflip_case_0000051,51,3,8,4,75.83732704523813,positive,81.3521216133793,167,positive,74.25345900364402,positive,1674.0970547529869
axisflip_case_0000052,52,4,4,1,1.1559099642689021,positive,4.468513082524996,145,positive,4.416101210580081,positive,792.145655465778
axisflip_case_0000055,55,1,7,1,6.716541164977921,positive,13.5002374326502,188,positive,13.500237432650165,positive,526.5910801850259
axisflip_case_0000056,56,2,8,1,4.7010120040947845,positive,66.53134334146446,186,positive,66.25663496668683,positive,670.8336063623428
axisflip_case_0000061,61,1,6,2,19.846505124415042,positive,76.77361065761586,200,positive,76.77361065761586,positive,842.5210385546088
axisflip_case_0000062,62,2,7,2,37.979574677082034,positive,77.02347110190821,183,positive,74.07441879945034,positive,924.7170129008591
axisflip_case_0000063,63,3,8,2,61.81659472754683,positive,78.95490694982013,200,positive,78.95490694982013,positive,994.6859914618544
axisflip_case_0000066,66,0,4,3,4.944327272198511,positive,11.981651795921165,3,positive,5.009568917924131,positive,1323.1367876157165
axisflip_case_0000067,67,1,5,3,7.320233974246796,positive,74.35965698672214,193,positive,73.55499206758725,positive,962.0168834961951
axisflip_case_0000068,68,2,6,3,36.98299227481884,positive,79.26732397168188,198,positive,79.24692379912109,positive,1088.7651377096772
axisflip_case_0000069,69,3,7,3,66.27106850160615,positive,79.10399300207004,130,positive,76.13031714293973,positive,1210.3112479201518
axisflip_case_0000070,70,4,8,3,59.5804853127197,positive,81.1515759604094,138,positive,80.03662028449932,positive,1323.8912784880958
axisflip_case_0000075,75,3,6,4,19.600968142208988,positive,80.41022442502609,195,positive,79.65594932497646,positive,1339.3331920919009
axisflip_case_0000076,76,4,7,4,67.47848297412467,positive,79.83952370627966,96,positive,76.47911897478745,positive,1519.2409495408647
axisflip_case_0000077,77,5,8,4,58.627087623788526,positive,78.73335878707522,149,positive,78.26754075969268,positive,1681.971537666861
axisflip_case_0000080,80,2,6,1,4.007632961591227,positive,5.180672148525514,2,positive,4.469341550046625,positive,963.3686436340213
axisflip_case_0000086,86,2,5,2,2.0972185896047955,positive,19.89596752052478,169,positive,19.895967520524493,positive,856.6200326308608
axisflip_case_0000089,89,5,8,2,36.336849696906974,positive,79.79924809644953,196,positive,79.501316410092,positive,994.7557948026806
axisflip_case_0000093,93,3,5,3,14.45528852718538,positive,77.8002526413022,189,positive,76.53507271021091,positive,953.3989211726002
axisflip_case_0000095,95,5,7,3,61.476134331716906,positive,78.77124430377984,120,positive,76.54683192904592,positive,1202.081408613827
axisflip_case_0000096,96,0,8,3,5.549105344485809,positive,78.76219582874921,194,positive,78.04836812753466,positive,1339.3289795927703
axisflip_case_0000103,103,1,8,4,49.35995388597811,positive,80.855754425377,41,positive,79.94753049807314,positive,1699.0087185129523
axisflip_case_0000115,115,1,8,2,50.80142522349971,positive,74.94436552939398,181,positive,74.64455264794594,positive,1026.9873883537948
axisflip_case_0000122,122,2,8,3,65.09971150627517,positive,79.74477838832799,160,positive,78.2270193060624,positive,1322.8101228810847
