trajectory_id,case_id,worker_index,nfp,n_base_coils,initial_score,final_score,best_score,best_iteration,best_gain,trajectory_wall_s
axisv2_case_00108,108,4,8,1,4.814723361098647,13.826838266571048,13.826838266571185,160,9.012114905472538,555.1745485831052
axisv2_case_00132,132,5,6,1,3.2886036654295014,4.627894704663482,14.514454717128471,37,11.22585105169897,943.3035642015748
axisv2_case_00133,133,1,7,1,3.1799736231685904,16.466616044484233,16.46661604448456,161,13.28664242131597,542.4364270716906
axisv2_case_00206,206,0,7,4,2.4588575482948873,67.13106698307924,67.63109960505953,135,65.17224205676465,1508.4621082358062
axisv2_case_00574,574,5,6,1,3.3886084278903854,61.15701721819714,62.00784566748359,152,58.61923723959321,632.0856512873434
axisv2_case_00705,705,1,7,1,5.902154703024696,14.981325895926675,14.981325895926764,139,9.079171192902068,508.8674973472953
axisv2_case_00781,781,1,5,1,1.903773270203281,38.91822251716155,51.688763635532645,58,49.784990365329364,466.13767229765654
axisv2_case_00979,979,1,7,3,4.823293078823134,66.33383796871126,67.00869813238448,149,62.18540505356135,1208.233404532075
axisv2_case_00991,991,5,7,1,5.171136758989881,16.652008808783325,16.652008808783652,167,11.48087204979377,551.1015560613014
axisv2_case_01043,1043,5,7,1,4.390167258010137,10.066431344622126,10.066431344622249,64,5.676264086612112,556.1073366519995
axisv2_case_01081,1081,3,5,3,1.2182135969230858,56.58472935063125,69.54084011725932,118,68.32262652033623,945.1357224322855
axisv2_case_01117,1117,3,8,4,3.509351081391007,65.8696703908824,66.77304553101386,116,63.263694449622854,1716.941634312272
axisv2_case_01236,1236,0,4,3,8.607646878916972,14.120526367655872,14.995519637962722,168,6.3878727590457505,816.8015373982489
axisv2_case_01255,1255,2,4,2,1.0754305260393962,3.1544128631354784,3.4096284696053085,14,2.334197943565912,1045.623190075159
axisv2_case_01284,1284,3,7,2,1.6868615514359255,1.4427886399306231,1.6868615514359255,0,0.0,2224.332092925906
axisv2_case_01325,1325,4,8,4,10.79727995217915,66.0036171836974,66.5742179951131,75,55.77693804293395,1686.7840056219138
axisv2_case_01433,1433,2,7,1,2.442477960077249,63.745230957167365,63.97958648075191,156,61.537108520674664,631.6361690498888
axisv2_case_01481,1481,1,8,4,2.740226223319231,32.60745166545777,34.41833411301055,187,31.678107889691322,1575.3242563270032
axisv2_case_01571,1571,2,8,2,4.280679261569368,65.93670998556279,65.9367099855628,76,61.65603072399343,816.9478238299489
axisv2_case_01822,1822,2,6,1,3.1812169759641087,10.535317575548245,10.535317575548383,199,7.3541005995842745,505.99661591649055
axisv2_case_01826,1826,1,3,2,0.8128290576511022,2.0284617625388406,2.253708571008472,20,1.4408795133573697,907.7077558673918
axisv2_case_01831,1831,5,8,2,4.040718054008164,66.09158159185127,66.63056730723648,64,62.58984925322831,1000.2509975028224
axisv2_case_01994,1994,2,8,3,3.5748297972116285,26.763477589243607,26.763477589243656,102,23.18864779203203,1131.22950598225
axisv2_case_02005,2005,5,7,1,5.463971158172224,14.592640921311492,14.5926409213116,57,9.128669763139378,546.7893393994309
axisv2_case_02110,2110,2,8,1,4.860323184748021,16.354946096712503,16.35494609671283,121,11.49462291196481,542.6344267576933
axisv2_case_02155,2155,5,6,4,2.348973205358883,68.20562120715377,68.20562120715377,200,65.85664800179488,1365.5307345311157
axisv2_case_02190,2190,2,3,2,1.0475106189624779,6.6206567417733915,6.6477906948501895,192,5.600280075887712,619.5082053914666
axisv2_case_02212,2212,0,6,1,1.2416847042166728,1.2635127277227092,1.2635127277227105,63,0.02182802350603774,1077.607525024563
axisv2_case_02236,2236,3,4,1,1.6431498971981013,2.2142321800763907,2.3228941411877417,3,0.6797442439896404,800.7343194410205
axisv2_case_02270,2270,4,5,2,1.2541226210529326,67.88333681816391,67.92621050026438,195,66.67208787921145,751.3977881628089
axisv2_case_02297,2297,5,6,2,2.071077294103431,66.63363569320474,67.20419428085377,144,65.13311698675034,859.9562255218625
axisv2_case_02363,2363,2,6,4,2.090897158093715,68.04034658505918,68.04247316896183,198,65.95157601086812,1220.073197685182
axisv2_case_02444,2444,2,4,1,1.6329518275887784,2.631315426278989,2.6313154262789915,21,0.9983635986902131,933.8516715280712
axisv2_case_02551,2551,1,7,1,7.787074998924998,17.67123738373279,17.671237383732997,41,9.884162384807999,514.9658175297081
axisv2_case_02733,2733,3,7,1,1.1695260099376517,1.9028483974316106,1.9028483974316115,97,0.7333223874939598,1307.4371051192284
axisv2_case_02809,2809,5,5,1,2.237071242585672,2.983971610578842,2.9839716105788456,95,0.7469003679931738,1144.862685916014
axisv2_case_02852,2852,2,8,3,2.9629838271495617,25.83722534390365,25.837225343903665,61,22.874241516754104,1132.217346791178
axisv2_case_02897,2897,5,8,2,2.60817560812605,66.30680606218657,66.35105505925088,175,63.742879451124836,1042.5675119590014
axisv2_case_02986,2986,0,5,4,7.360161436449769,69.41608672355181,69.64556956738808,170,62.28540813093831,1186.3600114025176
axisv2_case_03025,3025,1,6,2,1.6629976565293214,2.655105194710827,2.6551051947108273,29,0.9921075381815059,1411.6482416205108
axisv2_case_03190,3190,3,8,3,4.049553123019894,64.58832106219567,65.97129039922318,78,61.92173727620329,1335.6771999262273
axisv2_case_03228,3228,4,8,1,6.352877514597769,33.144525552347446,34.4645167029338,18,28.11163918833603,552.728561214637
