trajectory_id,case_id,worker_index,nfp,n_base_coils,initial_score,final_score,best_score,best_iteration,best_gain,trajectory_wall_s
axisv3_case_00001,1,0,5,1,3.2147557850249306,43.8964109829723,51.20896619816144,198,47.994210413136514,466.0612197816372
axisv3_case_00043,43,5,7,3,4.039015124892408,65.5314670235975,65.5314670235975,200,61.49245189870509,1239.6854132921435
axisv3_case_00190,190,0,5,2,2.5622605412684254,32.613382574483765,32.61338257448414,64,30.051122033215716,617.6575503051281
axisv3_case_00200,200,2,8,3,15.784800290999511,65.94348621406047,66.0860603787741,150,50.301260087774594,1332.201687488705
axisv3_case_00210,210,0,6,1,4.761589945174966,64.77709709417182,64.85925557914895,188,60.09766563397398,598.0886545181274
axisv3_case_00269,269,1,6,2,9.931317187111185,65.8388815258236,66.0471092817149,189,56.11579209460371,862.7703690752387
axisv3_case_00354,354,3,6,3,13.863439835719788,65.70314812806491,66.27131220312639,182,52.4078723674066,1087.90044753626
axisv3_case_00367,367,5,7,1,5.603807435404975,8.928058095206357,8.92805809520641,135,3.324250659801435,510.95904656965286
axisv3_case_00399,399,1,6,2,2.9294454885796064,65.66563667762333,66.0212558481,141,63.091810359520395,845.1011176221073
axisv3_case_00426,426,3,7,2,17.911757458716433,66.66393677971425,66.6830661143505,198,48.77130865563406,905.1889871880412
axisv3_case_00446,446,3,8,1,7.369380032876453,61.107796333477374,61.26907626605582,193,53.89969623317937,660.7394701316953
axisv3_case_00449,449,5,4,2,2.007137900632105,2.1399489148717943,2.4711651079649757,2,0.4640272073328706,1063.897895858623
axisv3_case_00452,452,5,7,2,3.726283282888883,66.07283940202572,66.61039010845141,116,62.884106825562526,948.0689305178821
axisv3_case_00453,453,1,8,2,6.195270313046242,65.6529827876841,65.79947488894622,184,59.60420457589998,961.1088891811669
axisv3_case_00493,493,1,8,4,9.685878709152265,66.33739401068047,66.51286351862082,196,56.826984809468556,1633.409563779831
axisv3_case_00502,502,4,5,2,2.025403933242302,65.48797194231632,65.56096757645837,188,63.535563643216065,806.9381335498765
axisv3_case_00602,602,5,8,1,6.317503163705912,9.723087878596761,9.723087878596857,146,3.405584714890945,552.4284639079124
axisv3_case_00608,608,3,7,2,6.454133330989524,65.59254545248663,65.92799582112087,186,59.47386249013135,929.7522577047348
axisv3_case_00609,609,0,8,2,11.04804289291338,64.8855364567783,65.2647342421393,46,54.21669134922592,983.0843771956861
axisv3_case_00627,627,5,7,1,4.456501399909977,8.822302858189161,8.822302858189175,58,4.365801458279198,529.951900606975
axisv3_case_00653,653,5,7,1,6.821506583697307,61.01516592096066,61.513081581024224,91,54.69157499732692,608.755645620171
axisv3_case_00706,706,5,8,1,8.448266228506782,58.03862284250852,62.90265284133169,63,54.454386612824905,621.8612979836762
axisv3_case_00727,727,5,8,4,38.84838710661218,65.94102198338447,66.36223413859706,31,27.51384703198488,1752.8078575320542
axisv3_case_00732,732,2,8,1,8.797185745626226,58.795387703731144,60.76746095688944,112,51.970275211263214,638.5559214539826
axisv3_case_00758,758,5,8,1,5.44595290054649,61.07084288561731,61.07084288561738,191,55.624889985070894,663.8486513728276
axisv3_case_00808,808,1,6,1,6.219752172895979,7.01239087627778,36.469299627394456,120,30.249547454498476,770.818954538554
axisv3_case_00842,842,2,7,2,7.358870758347634,65.50351125098595,65.54581909201734,189,58.186948333669704,895.1345001682639
axisv3_case_00887,887,3,7,1,6.047563771962461,9.839414801727504,9.839414801727534,120,3.7918510297650725,518.1668269596994
axisv3_case_00919,919,0,6,2,4.7703966544639425,65.44163143818304,65.50125764333268,199,60.730860988868734,842.1435953341424
axisv3_case_00939,939,1,7,1,5.9404665462700335,61.46363160956074,61.482321690722635,191,55.541855144452605,662.2841921895742
axisv3_case_00992,992,1,8,1,4.393040939344704,15.292607660207908,15.29260766020823,25,10.899566720863525,574.2819104008377
axisv3_case_00999,999,2,8,2,34.75789025884614,64.8980659266929,65.67369181419205,143,30.915801555345915,1020.831305872649
axisv3_case_01095,1095,3,7,1,5.825389450804599,17.445281025431424,17.445281025431886,62,11.619891574627285,574.9173650927842
axisv3_case_01128,1128,5,7,2,10.432060063494845,65.96344842711105,65.96344842711105,200,55.5313883636162,911.8064459953457
axisv3_case_01161,1161,3,7,3,20.30878719931067,65.93007881876467,66.9098289925687,99,46.601041793258034,1235.020839702338
axisv3_case_01186,1186,1,6,3,6.517072543128666,67.0323734590066,67.05849613140082,198,60.54142358827215,1059.2914077565074
axisv3_case_01232,1232,2,7,2,4.39995829017474,66.11148096185605,66.19727417836441,166,61.79731588818967,927.7576373256743
axisv3_case_01304,1304,3,8,1,7.6650502626983315,62.896019427979596,63.23972327002744,132,55.57467300732911,671.5216682888567
axisv3_case_01324,1324,3,7,4,22.41482363303782,64.27260922269704,66.58971643061112,78,44.1748927975733,1560.4481569565833
axisv3_case_01341,1341,4,5,3,2.5824522911611614,68.02628005971819,68.88042527622761,198,66.29797298506645,1019.8999996241182
