trajectory_id,case_id,nfp,n_base_coils,initial_score,initial_iota,initial_sign,best_score,best_iteration,best_iota,best_sign,final_score,final_iota,final_sign,trajectory_pattern,history_count
axisv3_case_03164,3164,8,3,10.198030400420047,-0.6066696208326825,negative,65.52580978673346,100,-1.0309384856309693,negative,65.15781197310213,-1.0379379764199257,negative,all_negative,200
axisv3_case_01637,1637,8,4,35.474963664626934,-0.7687953934671663,negative,65.86029196615522,190,-1.0642466713896437,negative,65.5325986370867,-1.1450289636850357,negative,all_negative,200
axisv3_case_01589,1589,7,1,2.144705757837391,-0.6242657807737628,negative,64.00673508944277,171,-1.0293027258997773,negative,63.23542129914219,-1.14228954911232,negative,all_negative,200
axisv3_case_00190,190,5,2,2.457214537220067,-0.49589676456193743,negative,32.61338257448414,64,-1.1032474265072922,negative,32.613382574483765,-1.1924471855163574,negative,all_negative,200
axisv3_case_02757,2757,5,1,2.954680484641738,-0.7159502895325687,negative,65.49582414204589,200,-1.118198130817558,negative,65.49582414204589,-1.1343160835402488,negative,all_negative,200
axisv3_case_01734,1734,8,3,24.76338567806947,-0.8903576462349545,negative,66.19490171368787,93,-1.0141863141143939,negative,65.85409483582758,-1.060255266726017,negative,all_negative,200
axisv3_case_02013,2013,8,2,4.748048346650306,-0.5072636745266816,negative,65.81300742234662,159,-1.0577666251610132,negative,65.3842516142395,-1.103653691549922,negative,all_negative,200
axisv3_case_02654,2654,6,1,6.333649491297657,-0.9674995531070529,negative,7.3279666270636925,32,-1.0328572049747393,negative,7.211941263671876,-1.022396832704544,negative,all_negative,200
axisv3_case_02725,2725,4,4,0.4471899132901363,-0.2546377165135859,negative,0.6767912304859698,1,-0.3066366783630402,negative,0.6112001543950962,-0.33558593690395355,negative,all_negative,200
axisv3_case_01978,1978,6,1,3.152433754441266,-0.7529859572292308,negative,62.571437348760796,200,-1.0591924649862379,negative,62.571437348760796,-1.1137797236442566,negative,all_negative,200
axisv3_case_00919,919,6,2,4.637297842273263,-0.9086755575917406,negative,65.50125764333268,199,-1.0759773205493168,negative,65.44163143818304,-1.0983911454677582,negative,all_negative,200
axisv3_case_00001,1,5,1,3.2966476665704314,-0.7569502333425598,negative,51.20896619816144,198,-1.2804433878973889,negative,43.8964109829723,-1.224518597126007,negative,all_negative,200
axisv3_case_02537,2537,5,3,2.3091141918933173,-0.4842631164471923,negative,68.23729555972255,151,-1.0248531600173427,negative,67.798751848825,-1.0615758746862411,negative,all_negative,200
axisv3_case_00609,609,8,2,9.554874079525247,-1.395736280170269,negative,65.2647342421393,46,-1.0320798339353616,negative,64.8855364567783,-1.0854226425290108,negative,all_negative,200
axisv3_case_00210,210,6,1,4.361456933621393,-1.3908970623768449,negative,64.85925557914895,188,-1.076582148669301,negative,64.77709709417182,-1.1110937744379044,negative,all_negative,200
axisv3_case_01663,1663,8,4,10.825339353136586,-0.8182426507256868,negative,65.63465552437249,175,-1.018446000705493,negative,65.22495657373334,-1.1082428833469748,negative,all_negative,200
axisv3_case_02610,2610,7,2,4.721090840990748,-0.7335902402994177,negative,66.28996566174223,174,-1.0259430333551354,negative,66.20230221456579,-1.0762662887573242,negative,all_negative,200
axisv3_case_02473,2473,7,1,7.189876353459429,-1.404745001987006,negative,63.69211927470469,198,-1.0653918022147177,negative,62.60166148548214,-1.1448121219873428,negative,all_negative,200
axisv3_case_01861,1861,5,3,3.0668604345807657,-0.346241871362361,negative,66.6020660251977,180,-1.022505298453234,negative,64.44609909011835,-1.0238583236932755,negative,all_negative,200
axisv3_case_02628,2628,6,1,0.8561409871390706,-0.4234166164064169,negative,1.557232524754392,7,-0.698541971191895,negative,1.5572325247543917,-0.739197701215744,negative,all_negative,200
axisv3_case_03242,3242,8,3,6.367935587230799,-1.1017465580062997,negative,66.3928081368536,194,-1.0689994111374173,negative,65.42726628394222,-1.0218412959948182,negative,all_negative,200
axisv3_case_02989,2989,8,4,11.226079598961794,-0.7504822479324631,negative,66.78078112253391,37,-1.0187139138678292,negative,64.99349953592227,-1.0686617670580745,negative,all_negative,200
axisv3_case_00808,808,6,1,6.196711047311531,-0.9553074581279077,negative,36.469299627394456,120,-1.5455691845647979,negative,7.01239087627778,-2.0780067443847656,negative,all_negative,200
axisv3_case_00399,399,6,2,2.9513663918625945,-0.652340653794943,negative,66.0212558481,141,-1.0276424937458968,negative,65.66563667762333,-1.1080703139305115,negative,all_negative,200
axisv3_case_02462,2462,8,3,23.20863144719328,-0.6091935254884266,negative,66.21205278460349,48,-1.055058747799016,negative,65.93374841428748,-1.0622887909412384,negative,all_negative,200
axisv3_case_00992,992,8,1,4.08466392621231,-1.7840835823211099,negative,15.29260766020823,25,-1.047573985303167,negative,15.292607660207908,-1.053683982181224,negative,all_negative,200
axisv3_case_00269,269,6,2,8.712524234085391,-0.6319684649379864,negative,66.0471092817149,189,-1.019803237850101,negative,65.8388815258236,-1.0939242988824844,negative,all_negative,200
