case_id,worker_index,nfp,n_base_coils,status,score,iota_min,iota_max,score_wall_s
0,0,8,3,no_axis,0.1126602097034954,nan,nan,4.336901027709246
1,1,8,3,no_surface,0.2577450272422838,nan,nan,4.801537726074457
2,2,8,3,no_axis,0.11900830775847532,nan,nan,4.249507546424866
3,3,8,3,no_surface,0.2996992554037287,nan,nan,5.213858021888882
4,4,8,3,ok,5.683867953962258,1.391159176826477,1.9672935482301872,5.295958406757563
5,5,8,3,no_surface,0.25099521871175423,nan,nan,5.213510571978986
6,0,8,3,ok,12.709353618127718,1.711061879992485,1.7731943172087337,4.368963543325663
7,1,8,3,no_surface,0.2764739331178518,nan,nan,3.9752160646021366
8,2,8,3,ok,22.96621317600001,1.9144372973292256,1.9316604990471695,4.290054388344288
9,3,8,3,no_axis,0.11772332024805086,nan,nan,3.610355223994702
10,4,8,3,no_axis,0.11040678098021431,nan,nan,3.6466592424549162
11,5,8,3,no_surface,0.27581220600961776,nan,nan,4.028329132590443
12,0,8,3,no_axis,0.12116555158175578,nan,nan,3.6927060037851334
13,1,8,3,ok,7.812440587781989,2.041575312614441,2.2820170481744904,4.053115610033274
14,2,8,3,no_axis,0.11445590183498888,nan,nan,3.6150268390774727
15,3,8,3,ok,29.386665200811215,2.1114435316752624,2.1933051347732544,4.146336216013879
16,4,8,3,no_axis,0.1141900045258095,nan,nan,3.644039056263864
17,5,8,3,ok,12.900779878011182,1.7887283235650946,1.8078831997551865,4.099346103146672
18,0,8,3,no_axis,0.11652821640988907,nan,nan,3.688494373112917
19,1,8,3,ok,17.240909722393724,2.3169788122177124,2.5187082686608435,4.14940083399415
20,2,8,3,ok,3.855992390751853,1.921152949333191,2.112233693465309,4.098182372748852
21,3,8,3,no_axis,0.11256606724372005,nan,nan,3.630004117731005
22,4,8,3,no_axis,0.11511349463772046,nan,nan,3.6441028881818056
23,5,8,3,no_surface,0.2479422948812574,nan,nan,4.051673371344805
24,0,8,3,no_axis,0.11517420364181843,nan,nan,3.6839612312614918
25,1,8,3,no_surface,0.2529824040233572,nan,nan,4.006007857620716
26,2,8,3,no_axis,0.11651374474881188,nan,nan,3.6141079515218735
27,3,8,3,no_surface,0.2506624793156122,nan,nan,4.0024916641414165
28,4,8,3,ok,5.188702020421092,1.553179383277893,1.8621223623211778,4.091387910302728
29,5,8,3,no_surface,0.2699368554690679,nan,nan,4.04192255390808
30,0,8,3,no_surface,0.312129080599664,nan,nan,4.0569503381848335
31,1,8,3,no_surface,0.2669541183753046,nan,nan,4.003953818231821
32,2,8,3,no_surface,0.2482436873192745,nan,nan,3.985664214938879
33,3,8,3,no_axis,0.11964965584030046,nan,nan,3.6289877076633275
34,4,8,3,ok,14.560073322902012,1.8904056549072266,2.0099670105206506,4.087468517012894
35,5,8,3,no_axis,0.11458657738148154,nan,nan,3.6781810191459954
36,0,8,3,ok,37.99343605092805,1.4954898357391357,1.5987406218008844,4.212516978383064
37,1,8,3,no_axis,0.11712964788512958,nan,nan,3.6285661086440086
38,2,8,3,flux_rejected,0.30846593380242626,nan,nan,4.011369567364454
39,3,8,3,no_axis,0.12035045191972155,nan,nan,3.628363834694028
40,4,8,3,no_surface,0.2539555316215028,nan,nan,4.0079477690160275
