trajectory_id,case_id,worker_index,nfp,n_base_coils,initial_score,initial_iota_sign,best_score,best_iteration,best_iota_sign,final_score,final_iota_sign,trajectory_wall_s,initial_volume_qs,initial_coil,best_volume_qs,best_coil
axisflip_r012_case_0000004,4,4,8,3,5.683689038157068,positive,79.39490321966287,119,positive,77.20949623896811,positive,1349.287995829247,7.741803042429939,71.63578927459793,65.32853375943284,72.91751529413806
axisflip_r012_case_0000006,6,0,8,3,12.705562433925756,positive,78.3380485252858,196,positive,78.14428055495543,positive,1355.8041179142892,11.354467448490668,70.39268131868698,62.42374862218265,70.0817964580423
axisflip_r012_case_0000008,8,2,8,3,22.960633136068434,positive,79.10486194239155,162,positive,74.69148720646798,positive,1335.00637120381,14.82979380559697,74.51228204363956,61.67423213142078,72.26534585043174
axisflip_r012_case_0000013,13,1,8,3,7.812556779997908,positive,78.78118856244879,185,positive,78.46575494785671,positive,1338.3180238641798,11.186044472831457,64.29801111963646,62.376284521847246,71.10734826904128
axisflip_r012_case_0000015,15,3,8,3,29.384878863508924,positive,78.56986330523304,161,positive,76.66392178933762,positive,1340.6227387022227,16.34241756101634,69.83026889023422,61.0933212275665,74.63010165726028
axisflip_r012_case_0000017,17,5,8,3,12.901929837775075,positive,78.65565873069566,193,positive,78.2022922206022,positive,1348.8547149160877,14.348346888441274,68.03782180284016,61.154520017296946,68.49179879682981
axisflip_r012_case_0000019,19,1,8,3,17.240910869172364,positive,78.85572373184011,195,positive,76.98991563725053,positive,1338.5734001994133,12.673933694624772,68.25629409645985,61.93423693034264,66.90072326749525
axisflip_r012_case_0000020,20,2,8,3,3.856691737934654,positive,77.35434932289435,199,positive,77.03233674425753,positive,1327.190409295261,5.738146589183673,74.1880529007678,60.808443098833784,71.51664154752044
axisflip_r012_case_0000028,28,4,8,3,5.189302113313428,positive,10.061497150387337,4,positive,5.086030218910959,positive,2087.687903659884,6.333845678486837,69.2545790370117,9.869843219197907,68.6465599019094
axisflip_r012_case_0000036,36,0,8,3,37.98702581592047,positive,80.27242566591161,177,positive,79.1663663091617,positive,1349.604268759489,17.43934472617711,69.53902110558747,62.68315638210332,71.9673183449101
axisflip_r012_case_0000045,45,3,8,3,4.041880109327106,positive,78.09538473084685,146,positive,76.98644845705914,positive,1351.1375333638862,6.668610471884984,70.79332389882065,59.43459743274296,66.6498403169497
axisflip_r012_case_0000059,59,5,8,3,24.217293027589687,positive,79.2631065542376,181,positive,77.5304646043346,positive,1350.8300668029115,15.503401319153506,73.7485625522325,61.21999097513368,67.2241959069059
