condition,expected_count,expected_probability,n_base_coils,nfp,observed_count,observed_probability
nfp2_nc2,2.8920954555210834,0.009359532218514833,2,2,1,0.003236245954692557
nfp2_nc3,4.873753634217254,0.015772665482903733,3,2,4,0.012944983818770227
nfp2_nc4,6.572030673769244,0.021268707682101113,4,2,7,0.022653721682847898
nfp2_nc5,7.454330816211048,0.024124047948903066,5,2,9,0.02912621359223301
nfp3_nc2,7.990946164803216,0.025860667200010408,2,3,8,0.025889967637540454
nfp3_nc3,23.062401217584732,0.07463560264590528,3,3,23,0.0744336569579288
nfp3_nc4,29.54600089757849,0.09561812588213103,4,3,30,0.0970873786407767
nfp3_nc5,21.004370816991553,0.0679753100873513,5,3,20,0.06472491909385113
nfp4_nc1,0.11455833284551893,0.0003707389412476341,1,4,0,0.0
nfp4_nc2,31.43922808249917,0.10174507470064456,2,4,23,0.0744336569579288
nfp4_nc3,38.13787586099241,0.1234235464757036,3,4,36,0.11650485436893204
nfp4_nc4,22.73078499092665,0.07356241097387266,4,4,28,0.09061488673139159
nfp4_nc5,12.336123631680618,0.03992273019961365,5,4,7,0.022653721682847898
nfp5_nc1,0.9606821596518956,0.003109003752918756,1,5,2,0.006472491909385114
nfp5_nc2,33.18775000487814,0.10740372169863477,2,5,37,0.11974110032362459
nfp5_nc3,25.9464574918535,0.08396911809661327,3,5,28,0.09061488673139159
nfp5_nc4,11.626665886163632,0.037626750440659,4,5,15,0.04854368932038835
nfp5_nc5,4.192433023083377,0.013567744411273066,5,5,2,0.006472491909385114
nfp6_nc1,0.49039005639134425,0.0015870228362179425,1,6,0,0.0
nfp6_nc2,4.099982438681731,0.013268551581494273,2,6,6,0.019417475728155338
nfp6_nc3,2.5705282054283987,0.008318861506240772,3,6,4,0.012944983818770227
nfp6_nc4,1.9294035005561085,0.006244024273644364,4,6,3,0.009708737864077669
nfp6_nc5,1.079260083123573,0.003492751078069816,5,6,0,0.0
nfp7_nc1,1.3626412222677518,0.004409842143261332,1,7,1,0.003236245954692557
nfp7_nc2,3.9994926730277665,0.012943341983908629,2,7,7,0.022653721682847898
nfp7_nc3,2.4559698725828794,0.007948122564993138,3,7,4,0.012944983818770227
nfp7_nc4,1.3646510175808308,0.004416346335213045,4,7,0,0.0
nfp7_nc5,0.49039005639134425,0.0015870228362179425,5,7,1,0.003236245954692557
nfp8_nc1,1.4550918066693983,0.004709034973040124,1,8,1,0.003236245954692557
nfp8_nc2,2.084157739663213,0.006744847053926256,2,8,1,0.003236245954692557
nfp8_nc3,0.998868270600402,0.003232583400001301,3,8,1,0.003236245954692557
nfp8_nc4,0.4501941501297586,0.0014569389971836849,4,8,0,0.0
nfp8_nc5,0.10048976565396399,0.00032520959758564397,5,8,0,0.0
