trajectory_id,nfp,n_base_coils,start_face_qh,endpoint_face_qh,best_observed_later_face_qh,best_observed_later_iteration
p107_37034_0_000001,5,3,0.00021771073601029793,4.131484997078689e-07,3.168635818496813e-07,150
p107_37034_0_000003,4,2,0.0002737121311593806,1.2370381914474e-06,1.2370381914474e-06,200
p107_37034_0_000007,6,2,0.0010744153198435843,0.0002370600172921398,0.00021798152387313428,50
p107_37034_0_000009,5,2,0.0010040366250912449,1.6207397584169441e-06,1.6207397584169441e-06,200
p107_37034_0_000016,4,5,0.000311490353896186,4.4773452562086547e-07,4.4773452562086547e-07,200
p107_37034_0_000017,4,3,0.0001472229732982181,1.7888165678281358e-06,1.7888165678281358e-06,200
p107_37034_0_000021,5,2,0.0016673487571723915,5.404248078312138e-07,5.404248078312138e-07,200
p107_37034_0_000022,4,4,0.00011487140231434828,1.3203368145497756e-06,1.3203368145497756e-06,200
p107_37034_0_000026,4,4,0.0008950964561553115,4.540087547356792e-06,4.814602511275216e-07,100
p107_37034_0_000043,3,2,0.00309450148444569,,,
p107_37034_0_000048,3,4,0.006118076976774961,,,
p107_37034_0_000052,4,3,0.0003514222407359031,4.057396760843969e-07,4.057396760843969e-07,200
p107_37034_1_000018,4,3,0.0008509631610039443,,,
p107_37034_1_000026,6,3,0.00024340646547835141,3.028137912320407e-06,3.028137912320407e-06,200
p107_37034_1_000031,4,3,0.0002237100120767894,2.7843815412511124e-07,2.6287130161032555e-07,75
p107_37034_1_000037,4,3,0.000582404634409264,1.421440830086598e-06,1.421440830086598e-06,200
p107_37034_1_000042,6,4,0.0007153970485380396,3.702374427760892e-05,3.35387308493432e-05,150
p107_37034_1_000046,4,2,0.0009765853501272786,1.4148004101269395e-06,1.4148004101269395e-06,200
p107_37034_2_000001,7,3,0.0014085555615824291,0.00023844923137131168,3.4382051184568896e-05,75
p107_37034_2_000003,4,3,0.00017471957217011282,1.616282996304247e-07,1.616282996304247e-07,200
p107_37034_2_000010,2,2,0.003942895257541769,,,
p107_37034_2_000013,3,2,0.001827567529082095,2.1983201290528577e-06,2.1983201290528577e-06,200
p107_37034_2_000016,5,4,0.00022099267662785727,1.3165927261556297e-07,1.3165927261556297e-07,200
p107_37034_2_000017,4,3,0.0010326228707520574,9.851506020326278e-07,9.851506020326278e-07,200
p107_37034_2_000021,4,2,0.0002516122409958015,3.8794520642761167e-07,3.8794520642761167e-07,200
p107_37034_2_000023,2,5,0.0011519477094717543,,,
p107_37034_2_000024,4,5,0.0005493788260113048,6.808998662412394e-08,6.808998662412394e-08,200
p107_37034_2_000025,3,4,4.547256424555324e-05,3.0526538038177596e-07,3.0526538038177596e-07,200
p107_37034_2_000026,7,5,0.0011089322127999705,3.615867722481781e-06,3.615867722481781e-06,200
p107_37034_2_000028,5,3,4.020766179668717e-05,4.2911999995167753e-07,4.2911999995167753e-07,200
p107_37034_2_000036,4,3,0.0007709627364854061,7.573556259082743e-07,6.268502780609968e-07,150
