point_id,case_id,source_id,kind,path,direction,alpha,normalized_delta_rms,position_delta_rms_m,coefficient_relative_l2,status,score,score_wall_s
0,0,1446077,source_raw,,,,,4.4713290408311026e-08,4.028171641745794e-08,ok,72.1850627159278,7.545495490543544
1,1,1446077,source_canonical,,,,,4.31007106790893e-08,3.910132740260421e-08,ok,63.26609929778146,7.523826324380934
2,2,1446077,reconstruction,,,,0.0,0.0,0.0,ok,63.26900269505957,7.5343757681548595
3,3,1446077,landscape,latent,0,-0.23999999463558197,0.23611101508140564,0.04547436182684004,0.03638363090541172,ok,28.96486715573153,11.463559488765895
4,4,1446077,landscape,tangent_direct,0,-0.23999999463558197,0.23810823261737823,0.042255960113022656,0.034263061942233004,ok,34.95388091595679,7.996834798716009
5,5,1446077,landscape,random_direct,0,-0.23999999463558197,0.23810824751853943,0.1346824269515421,0.10545711328448416,flux_rejected,0.31466441977300713,8.685448223724961
6,6,1446077,landscape,latent,0,-0.18000000715255737,0.17521372437477112,0.03313916194929611,0.02661869337323865,ok,41.797428678570604,7.098778906278312
7,7,1446077,landscape,tangent_direct,0,-0.18000000715255737,0.17858119308948517,0.03169194903080427,0.025697284984339645,ok,44.14928089105016,9.340275831520557
8,8,1446077,landscape,random_direct,0,-0.18000000715255737,0.17858119308948517,0.10101181444580067,0.07909283277001136,flux_rejected,0.32047119539594005,8.679684791713953
9,9,1446077,landscape,latent,0,-0.11999999731779099,0.11645817011594772,0.02161839716887032,0.01742944928611448,ok,53.24780501994714,6.0909939063712955
10,10,1446077,landscape,tangent_direct,0,-0.11999999731779099,0.11905411630868912,0.021127971387274062,0.017131525373593047,ok,53.59893224439564,7.097062528133392
11,11,1446077,landscape,random_direct,0,-0.11999999731779099,0.11905412375926971,0.06734121580735272,0.052728558044753314,drift_rejected,0.3109263256136776,4.805989732034504
12,12,1446077,landscape,latent,0,-0.09000000357627869,0.08746233582496643,0.01607563080600195,0.012982200810005217,ok,57.58275333647185,6.089818567968905
13,13,1446077,landscape,tangent_direct,0,-0.09000000357627869,0.08929060399532318,0.015845978206185322,0.012848645661371531,ok,57.589069916851464,6.09368961583823
14,14,1446077,landscape,random_direct,0,-0.09000000357627869,0.08929059654474258,0.050505915920325474,0.039546421155148,flux_rejected,0.38687395031707644,5.700002404861152
15,15,1446077,landscape,latent,0,-0.05999999865889549,0.05852175131440163,0.010644272118656832,0.00860876163260279,ok,58.74431023145285,7.027777843177319
16,16,1446077,landscape,tangent_direct,0,-0.05999999865889549,0.05952706187963486,0.010563976977480795,0.008565757954793557,ok,58.70173763207301,7.051644097082317
17,17,1446077,landscape,random_direct,0,-0.05999999865889549,0.05952706187963486,0.0336706192829706,0.026364286776835805,ok,8.734315970768622,5.1366725116968155
18,18,1446077,landscape,latent,0,-0.04500000178813934,0.04401790350675583,0.007961688510521005,0.006443566795258931,ok,60.443260257498146,7.093713007867336
19,19,1446077,landscape,tangent_direct,0,-0.04500000178813934,0.04464529827237129,0.007922975422812381,0.00642431486910081,ok,60.41871957099967,7.031262427568436
20,20,1446077,landscape,random_direct,0,-0.04500000178813934,0.04464529827237129,0.025252972530780304,0.01977322013496556,ok,10.378487471658621,6.092621627263725
21,21,1446077,landscape,latent,0,-0.029999999329447746,0.029454225674271584,0.005296215510606843,0.00428912858919451,ok,61.6594116992275,7.052568294107914
22,22,1446077,landscape,tangent_direct,0,-0.029999999329447746,0.029763532802462578,0.0052819763701652525,0.0042828723839929295,ok,61.64893282300515,7.097707945853472
23,23,1446077,landscape,random_direct,0,-0.029999999329447746,0.02976352907717228,0.016835298844282313,0.01318213739269755,ok,18.88427478693718,7.029074866324663
24,24,1446077,landscape,latent,0,-0.024000000208616257,0.023604366928339005,0.004233870811747528,0.0034296611681988304,ok,62.10971408752795,7.05171983409673
25,25,1446077,landscape,tangent_direct,0,-0.024000000208616257,0.023810824379324913,0.004225588861424768,0.0034263009871101924,ok,62.092377955335124,7.055227275006473
26,26,1446077,landscape,random_direct,0,-0.024000000208616257,0.023810826241970062,0.01346824448155323,0.0105457147003593,ok,26.704641753738656,7.092066928744316
27,27,1446077,landscape,latent,0,-0.017999999225139618,0.017736773937940598,0.003173372635574108,0.0025712547698585166,ok,62.483846695025356,7.029721304774284
28,28,1446077,landscape,tangent_direct,0,-0.017999999225139618,0.017858117818832397,0.0031691906575787923,0.0025697253930862325,ok,62.48310249043975,7.050482510589063
29,29,1446077,landscape,random_direct,0,-0.017999999225139618,0.017858117818832397,0.010101209305939256,0.007909300044740938,ok,37.63563554984705,7.059121363796294
30,30,1446077,landscape,latent,0,-0.012000000104308128,0.011848796159029007,0.002114408137704038,0.0017136472498702007,ok,62.80736937279122,7.103133016265929
31,31,1446077,landscape,tangent_direct,0,-0.012000000104308128,0.011905409395694733,0.002112793703122335,0.0017131492964357216,ok,62.80012345983599,7.028909281827509
32,32,1446077,landscape,random_direct,0,-0.012000000104308128,0.01190541498363018,0.00673413653971955,0.005272866386002952,ok,49.983018922426375,7.053528405725956
33,33,1446077,landscape,latent,0,-0.008999999612569809,0.008896414190530777,0.0015854753543880892,0.0012851222536488518,ok,62.92911868863514,6.099468914791942
34,34,1446077,landscape,tangent_direct,0,-0.008999999612569809,0.008929056115448475,0.001584594453243374,0.0012848617372011532,ok,62.916122931248616,6.133161541074514
35,35,1446077,landscape,random_direct,0,-0.008999999612569809,0.008929059840738773,0.005050599761040126,0.003954645574787371,ok,55.50140188430208,7.0326888132840395
36,36,1446077,landscape,latent,0,-0.006000000052154064,0.005937623325735331,0.0010567459649460276,0.0008566656263771066,ok,63.04228397016583,6.09638852532953
37,37,1446077,landscape,tangent_direct,0,-0.006000000052154064,0.005952706094831228,0.0010563846798369808,0.0008565677685944136,ok,63.07890093267449,6.099522168748081
38,38,1446077,landscape,random_direct,0,-0.006000000052154064,0.005952702835202217,0.003367058488109588,0.0026364247516163877,ok,59.77678740868295,7.104869000613689
39,39,1446077,landscape,latent,0,-0.004000000189989805,0.003961480222642422,0.0007043867620837561,0.0005710704279635555,ok,63.10369386797876,6.077693174593151
40,40,1446077,landscape,tangent_direct,0,-0.004000000189989805,0.003968470264226198,0.0007042597904622809,0.0005710463259281518,ok,63.10815241883175,6.0964716440066695
41,41,1446077,landscape,random_direct,0,-0.004000000189989805,0.003968472592532635,0.002244717646292023,0.00175762564148236,ok,61.729094093361965,6.102696321904659
42,42,1446077,landscape,latent,0,-0.0020000000949949026,0.001982346875593066,0.0003521165440815698,0.00028550136268328446,ok,63.187365221789506,6.135626797564328
43,43,1446077,landscape,tangent_direct,0,-0.0020000000949949026,0.0019842342007905245,0.0003521123795707122,0.0002855130563807853,ok,63.16503140082444,6.076620498672128
44,44,1446077,landscape,random_direct,0,-0.0020000000949949026,0.0019842360634356737,0.001122349238007078,0.0008788058113898816,ok,62.857252330865904,6.100394682958722
45,45,1446077,landscape,latent,0,-0.0010000000474974513,0.0009916413109749556,0.0001760478597025281,0.00014275229331744426,ok,63.20961808350878,6.1044679852202535
46,46,1446077,landscape,tangent_direct,0,-0.0010000000474974513,0.0009921208256855607,0.00017605848120752732,0.00014275513593605763,ok,63.199582095183516,6.137966472655535
47,47,1446077,landscape,random_direct,0,-0.0010000000474974513,0.000992120010778308,0.0005611903377248464,0.0004394142193725708,ok,63.1444592497015,6.081492871977389
48,48,1446077,landscape,latent,0,0.0,1.1518514497765864e-07,2.949353875718035e-08,2.309062356631084e-08,ok,63.25538050316757,6.1011548936367035
49,2,1446077,landscape,tangent_direct,0,0.0,0.0,0.0,0.0,ok,63.26900269505957,7.5343757681548595
50,2,1446077,landscape,random_direct,0,0.0,0.0,0.0,0.0,ok,63.26900269505957,7.5343757681548595
51,49,1446077,landscape,latent,0,0.0010000000474974513,0.0009922754252329469,0.0001760256384931373,0.0001427352578763282,ok,63.27658716209198,6.106626181863248
52,50,1446077,landscape,tangent_direct,0,0.0010000000474974513,0.0009921208256855607,0.00017609070336178128,0.0001427766167604537,ok,63.2559538045611,6.137456469237804
53,51,1446077,landscape,random_direct,0,0.0010000000474974513,0.0009921197779476643,0.0005611638354815587,0.00043939930524071675,ok,63.13960822133568,6.0818512393161654
54,52,1446077,landscape,latent,0,0.0020000000949949026,0.0019855306018143892,0.00035216328872685114,0.00028556187586463856,ok,63.285886085457975,6.099270613864064
55,53,1446077,landscape,tangent_direct,0,0.0020000000949949026,0.0019842342007905245,0.00035214729047629355,0.00028553365766848714,ok,63.310748481887146,6.106741700321436
56,54,1446077,landscape,random_direct,0,0.0020000000949949026,0.0019842362962663174,0.001122352023111003,0.0008788079937464121,ok,62.85296215610468,6.137458750978112
57,55,1446077,landscape,latent,0,0.004000000189989805,0.003974494524300098,0.0007041474047491726,0.0005710444435893663,ok,63.36846270074191,6.081073977053165
58,56,1446077,landscape,tangent_direct,0,0.004000000189989805,0.003968470264226198,0.0007042822750426528,0.0005710601852984429,ok,63.336984671666606,6.099690875969827
59,57,1446077,landscape,random_direct,0,0.004000000189989805,0.003968472592532635,0.0022447066928555598,0.0017576196383744579,ok,61.7463483738821,6.106753001920879
60,58,1446077,landscape,latent,0,0.006000000052154064,0.005966979544609785,0.0010561425263899236,0.0008565650804455914,ok,63.37151074205533,6.137294632382691
61,59,1446077,landscape,tangent_direct,0,0.006000000052154064,0.0059527065604925156,0.0010564046903900747,0.0008565807724912735,ok,63.38489504661947,6.080536034889519
62,60,1446077,landscape,random_direct,0,0.006000000052154064,0.005952703300863504,0.00336704811448326,0.002636420014252124,ok,59.90998266709094,6.098663737997413
63,61,1446077,landscape,latent,0,0.008999999612569809,0.008962668478488922,0.0015840554062021119,0.0012848936817349825,ok,63.41268299220466,6.107288580387831
64,62,1446077,landscape,tangent_direct,0,0.008999999612569809,0.008929056115448475,0.001584612609577026,0.0012848736095405248,ok,63.463115098518124,6.13823077082634
65,63,1446077,landscape,random_direct,0,0.008999999612569809,0.008929059840738773,0.005050586594625708,0.0039546404348980635,ok,55.97471365417383,6.081054355017841
66,64,1446077,landscape,latent,0,0.012000000104308128,0.011966897174715996,0.0021119570792124645,0.0017132945285189389,ok,63.46878513710747,6.0989863984286785
67,65,1446077,landscape,tangent_direct,0,0.012000000104308128,0.011905409395694733,0.0021128277661876444,0.0017131697999515573,ok,63.472493936389334,6.108193764463067
68,66,1446077,landscape,random_direct,0,0.012000000104308128,0.01190541498363018,0.006734115413992862,0.005272853311538996,ok,51.021493331590754,6.138301892206073
69,67,1446077,landscape,latent,0,0.017999999225139618,0.018003134056925774,0.0031678080596139573,0.0025704602702011745,ok,63.50842897580298,6.081826647743583
70,68,1446077,landscape,tangent_direct,0,0.017999999225139618,0.017858117818832397,0.0031692165483094984,0.0025697415049579357,ok,63.49891303100613,6.099423753097653
71,69,1446077,landscape,random_direct,0,0.017999999225139618,0.017858119681477547,0.01010118333724092,0.007909283519901328,ok,40.060390381178316,6.1066841604188085
72,70,1446077,landscape,latent,0,0.024000000208616257,0.024079302325844765,0.00422414527119255,0.00342839918085905,ok,63.479334553859985,6.143599066883326
73,71,1446077,landscape,tangent_direct,0,0.024000000208616257,0.023810826241970062,0.004225610432307031,0.0034263149586854697,ok,63.496664103372375,6.082170236855745
74,72,1446077,landscape,random_direct,0,0.024000000208616257,0.023810826241970062,0.013468229506183666,0.010545703394691403,ok,30.362487288801677,6.100165353156626
75,73,1446077,landscape,latent,0,0.029999999329447746,0.030199235305190086,0.005281304480569182,0.004287396027475204,ok,63.436587581447895,6.10692781675607
76,74,1446077,landscape,tangent_direct,0,0.029999999329447746,0.02976353093981743,0.0052820058577009756,0.0042828914861894685,ok,63.43099442768634,6.151795857585967
77,75,1446077,landscape,random_direct,0,0.029999999329447746,0.02976352907717228,0.01683528948610189,0.013182130892149825,ok,23.081711000377027,6.0752228340134025
78,76,1446077,landscape,latent,0,0.04500000178813934,0.04571639373898506,0.007931080858394002,0.006442039637846223,ok,63.07465547065664,6.098998201079667
79,77,1446077,landscape,tangent_direct,0,0.04500000178813934,0.04464529827237129,0.007923007644268698,0.006424333876710757,ok,63.05391908373613,6.107290949672461
80,78,1446077,landscape,random_direct,0,0.04500000178813934,0.04464529827237129,0.02525294980304234,0.01977320669287788,ok,9.168162152512055,7.106244834139943
81,79,1446077,landscape,latent,0,0.05999999865889549,0.06159697845578194,0.01059725175277764,0.00861195192620959,ok,62.423699021100816,6.081387012265623
82,80,1446077,landscape,tangent_direct,0,0.05999999865889549,0.05952706187963486,0.010564006035206169,0.008565775119694672,ok,62.392745678301125,6.100189138203859
83,81,1446077,landscape,random_direct,0,0.05999999865889549,0.05952706187963486,0.033670593062009174,0.02636427066166744,ok,8.335411176744078,6.1129825338721275
84,82,1446077,landscape,latent,0,0.09000000357627869,0.09474269300699234,0.016020657391576498,0.013028771609665495,ok,60.21633737081879,6.148827386088669
85,83,1446077,landscape,tangent_direct,0,0.09000000357627869,0.08929059654474258,0.01584599338091563,0.012848655273300525,ok,60.37168436121063,6.080984958447516
86,84,1446077,landscape,random_direct,0,0.09000000357627869,0.08929060399532318,0.050505902968424776,0.03954641241144244,drift_rejected,0.3626887645116712,3.0342488856986165
87,85,1446077,landscape,latent,0,0.11999999731779099,0.13029567897319794,0.02166923843639855,0.01762168964517373,ok,56.79294730043472,6.113200532272458
88,86,1446077,landscape,tangent_direct,0,0.11999999731779099,0.11905411630868912,0.021127988323632923,0.01713153602400476,ok,57.672676416903755,6.142410078085959
89,87,1446077,landscape,random_direct,0,0.11999999731779099,0.11905412375926971,0.06734119576231032,0.052728546533145314,no_axis,0.10066836947735361,4.4193476447835565
90,88,1446077,landscape,latent,0,0.18000000715255737,0.21193043887615204,0.03490953110010493,0.028132448740088117,flux_rejected,0.4040140679183643,9.020648780278862
91,89,1446077,landscape,tangent_direct,0,0.18000000715255737,0.17858119308948517,0.03169198896264402,0.025697309003537835,ok,34.995349317163424,6.1140643786638975
92,90,1446077,landscape,random_direct,0,0.18000000715255737,0.17858119308948517,0.10101181153702711,0.07909283271187108,no_axis,0.09938547361324346,4.477893521077931
