step,scale,g2_frozen_vs_native_cosine,g3_frozen_vs_native_cosine,flow_vjp_g2_cosine,flow_vjp_g3_cosine,g2_adam_prediction,g2_adam_frozen_slope,g3_adam_prediction,g3_adam_frozen_slope,g2_volume_slope,g3_volume_slope,g2_target_error_slope,g3_target_error_slope
50,0.0003125,0.9999997454541681,0.9999989892731598,0.9999966651777739,0.9999968139586513,22.0248292973747,22.029997995741724,23.35491626392029,23.35927851283941,57.28938538643433,58.34732084335883,-0.033140557259880854,-0.03368644285989819
50,0.000625,0.9999804649582407,0.9999771055559878,0.9999994162324033,0.9999994879428264,22.0248292973747,22.029340494100325,23.35491626392029,23.36371151242247,57.29078417392657,58.35510833209128,-0.03314205500875578,-0.03369135822954075
50,0.00125,0.9997265012985073,0.9996727164645152,0.9999997248790413,0.999999856881256,22.0248292973747,22.009043121335026,23.35491626392029,23.35407669346523,57.32166075323448,58.412718947079156,-0.03316232019166705,-0.03372590324348598
50,0.0025,0.999121243510254,0.9981987607539479,0.9999967592245744,0.9999993302851037,22.0248292973747,22.102660025919363,23.35491626392029,23.49863384619084,57.43350966126002,58.63138047012342,-0.03323682799462376,-0.03385748655489358
89,0.0003125,0.9999997664028266,0.9999987110497672,0.999996420947505,0.999996488456983,16.28439322299246,16.2827671899322,15.90890091780812,15.905269225936536,34.70034990452859,35.66111979882862,-0.018426111932118988,-0.018913212998733497
89,0.000625,0.9996215838113882,0.9996347349027391,0.9999992774455535,0.9999992848179113,16.28439322299246,16.28398513267939,15.90890091780812,15.90994737383653,34.70387222645286,35.666737640747215,-0.018428444240838407,-0.018916591528787483
89,0.00125,0.9979863221266868,0.99810348327055,0.9999996914627087,0.999999712672199,16.28439322299246,16.249560757813697,15.90890091780812,15.875037830176097,34.69889283292673,35.67381649836534,-0.018426342992020756,-0.01892053934659365
89,0.0025,0.9964059955235735,0.9966499272108041,0.9999999231155431,0.9999999345279568,16.28439322299246,16.195126872321453,15.90890091780812,15.826710442468084,34.68091628272418,35.703504218687954,-0.01841951980277789,-0.018937626279870706
100,0.0003125,0.9995129402933401,0.999544796127599,0.9999949600854859,0.9999953839825253,16.29830717411562,16.29898076569134,15.882293359253872,15.885161170172069,33.78069564523685,35.04303566735416,-0.017972352901729494,-0.018620540883149822
100,0.000625,0.9986484959150814,0.9987411151032488,0.999998856181491,0.9999989981431975,16.29830717411562,16.297511215486793,15.882293359253872,15.883660675285682,33.7741282241268,35.04060723242901,-0.017968662016715556,-0.0186189486503667
100,0.00125,0.9978859167197488,0.9980088391187255,0.9999995789284146,0.9999996181995092,16.29830717411562,16.124693356471198,15.882293359253872,15.709896711223337,33.76241219742724,35.04106931066531,-0.017963318905686587,-0.018619751811189446
100,0.0025,0.9970476539732418,0.9971380405954093,0.9999999475411052,0.9999999542797428,16.29830717411562,16.042647147051525,15.882293359253872,15.630578963285302,33.722470856247355,35.05250735126424,-0.017945703783174734,-0.018628097213320254
120,0.0003125,0.9960228556172938,0.9958133014850344,0.9999979749027504,0.9999978587770603,16.81940364927513,16.433901171581056,16.288822903901245,15.90474114175322,38.048792813560794,39.25765418987339,-0.020795236380957705,-0.02143836899789614
120,0.000625,0.9921097722298218,0.9917259214952462,0.9999993008244314,0.9999993056020834,16.81940364927513,16.125569465839362,16.288822903901245,15.596514909987036,38.040571198450834,39.25263862358861,-0.020790342499967668,-0.021435145371324904
120,0.00125,0.9845764718897285,0.9837917953964908,0.9999997851459759,0.9999997788060315,16.81940364927513,15.913898874725874,16.288822903901245,15.386311707152345,38.03161731699447,39.25202431410071,-0.020785610219730202,-0.021434706735882353
120,0.0025,0.9787055817186321,0.9777067474651037,0.9999999724089489,0.9999999725937826,16.81940364927513,15.954441012792131,16.288822903901245,15.436908001146321,37.999031503321135,39.254698085173345,-0.0207685860699542,-0.021435870180792037
