step,scale,component,component_slope_on_adam,weighted_score_contribution
50,0.0025,axis,-29.683296150030912,-2.9683296150030913
50,0.0025,coil,-26.38800797961656,-2.111040638369325
50,0.0025,coordinate,-6.360469375542247,-0.6360469375542248
50,0.0025,iota,0.0,0.0
50,0.0025,psi,4.271082960029283,0.42710829600292827
50,0.0025,surface,163.80256788189382,16.38025678818938
50,0.0025,volume_qs,63.11622949215025,26.508816386703103
50,0.005,axis,-33.19758010212154,-3.3197580102121544
50,0.005,coil,-25.92677731370427,-2.0741421850963415
50,0.005,coordinate,0.9380729388119837,0.09380729388119838
50,0.005,iota,0.0,0.0
50,0.005,psi,4.849268004284488,0.4849268004284488
50,0.005,surface,157.82574973332163,15.782574973332164
50,0.005,volume_qs,63.021199957706344,26.468903982236665
89,0.0025,axis,-63.535572424642076,-6.353557242464208
89,0.0025,coil,19.445469181949754,1.5556375345559803
89,0.0025,coordinate,-34.43778874876,-3.443778874876
89,0.0025,iota,0.0,0.0
89,0.0025,psi,-0.8473402777826431,-0.08473402777826432
89,0.0025,surface,53.74266033199915,5.374266033199915
89,0.0025,volume_qs,-4.749197339835083,-1.9946628827307349
89,0.005,axis,8.927439474330605,0.8927439474330605
89,0.005,coil,19.258194622297523,1.5406555697838018
89,0.005,coordinate,-29.68823956775565,-2.9688239567755654
89,0.005,iota,0.0,0.0
89,0.005,psi,-1.244061374779276,-0.1244061374779276
89,0.005,surface,53.8817792581245,5.3881779258124505
89,0.005,volume_qs,-4.668783361549977,-1.9608890118509903
100,0.0025,axis,-161.11494011172198,-16.111494011172198
100,0.0025,coil,25.196316110595774,2.015705288847662
100,0.0025,coordinate,-33.168092741932426,-3.316809274193243
100,0.0025,iota,0.0,0.0
100,0.0025,psi,-3.4864169693742433,-0.34864169693742436
100,0.0025,surface,51.774184077978234,5.177418407797823
100,0.0025,volume_qs,-20.02235686576502,-8.409389883621309
100,0.005,axis,-40.631270089671915,-4.063127008967192
100,0.005,coil,23.12713028596669,1.8501704228773352
100,0.005,coordinate,-30.369066553111487,-3.036906655311149
100,0.005,iota,0.0,0.0
100,0.005,psi,-2.7008899507231012,-0.27008899507231016
100,0.005,surface,51.55095809023391,5.155095809023392
100,0.005,volume_qs,-19.95409283706971,-8.380718991569278
120,0.0025,axis,-108.5540784516759,-10.85540784516759
120,0.0025,coil,3.4792868081162425,0.27834294464929943
120,0.0025,coordinate,-29.237091869476888,-2.923709186947689
120,0.0025,iota,0.0,0.0
120,0.0025,psi,-3.041728508841331,-0.3041728508841331
120,0.0025,surface,11.754217165903768,1.1754217165903769
120,0.0025,volume_qs,-28.505080649860844,-11.972133872941553
120,0.005,axis,nan,nan
120,0.005,coil,nan,nan
120,0.005,coordinate,nan,nan
120,0.005,iota,nan,nan
120,0.005,psi,nan,nan
120,0.005,surface,nan,nan
120,0.005,volume_qs,nan,nan
