step,random_direction_count,total_directions,informed_mean,informed_std,informed_p05,informed_median,informed_p95,pure_mean,pure_std,pure_p05,pure_median,pure_p95
50,0,1,0.2375581515172058,0.0,0.2375581515172058,0.2375581515172058,0.2375581515172058,0.04717919221074638,0.035568493890077844,0.0037525109200310523,0.04067038679587171,0.1144608982401528
50,1,2,0.24383677821411198,0.008478577901469612,0.23758543637034865,0.2405412255901316,0.2604708151253225,0.07290172313933356,0.03873818951774673,0.018927605355609712,0.06793769382087884,0.143312109979555
50,2,3,0.2502170818085103,0.012017957465536508,0.2383455747811895,0.24663050290894967,0.27415342440300666,0.09203121046968961,0.03923753559104572,0.03350386874595733,0.08926218880839784,0.1606774533001789
50,4,5,0.2625979442915187,0.016441966425994783,0.2424623562534372,0.25908298543124847,0.2961840106221004,0.12240500453770525,0.03901197809644385,0.062314269164873995,0.12093294285234342,0.19073530157359728
50,8,9,0.28472945172552455,0.02047401590312609,0.25539316085530733,0.28249651808573273,0.3219200623718746,0.16863064552742765,0.039380044605604965,0.10843659180275243,0.1665240692142701,0.2354735624379862
50,16,17,0.3255863093595331,0.026266931345955556,0.28595014803357416,0.323788092508406,0.37250306310934994,0.23462646807197815,0.03984567028020137,0.17095784938102307,0.23466674570573406,0.30023279784111545
89,0,1,0.11003482875100758,4.163336342344337e-17,0.11003482875100762,0.11003482875100762,0.11003482875100762,0.04456852898158776,0.033652996967819676,0.003966508685362743,0.03719625641634597,0.10796765660387225
89,1,2,0.12295189792655384,0.016837974509806286,0.11007778861163937,0.11645133876424335,0.15737889527843515,0.07267016207143204,0.03808042304867925,0.019058343229029023,0.0673082476874157,0.14168914561535123
89,2,3,0.1360317604460156,0.02274228022976809,0.11166495795661144,0.12976401342706598,0.1808840596346869,0.09128563097134179,0.0388712606016396,0.03424047250630473,0.08741529325923608,0.16095034744572587
89,4,5,0.15632701941069807,0.02712577896230679,0.1195184279559099,0.15227265296988435,0.20772245213854332,0.12338383834107466,0.039562189582792597,0.06202701325767605,0.12101855937412284,0.1906581584638575
89,8,9,0.19464738535076634,0.03257312265013184,0.14547210205899536,0.1924670507177699,0.2517052408347477,0.16888406375098539,0.03960650015124231,0.10712090620982492,0.16738383531509593,0.23678383926529828
89,16,17,0.2545124065143105,0.03575347871401588,0.19935491837964414,0.2533258932346985,0.31613761162705445,0.23575629037357534,0.038692370885520806,0.17245372008031098,0.23522484386121434,0.2998963713908126
100,0,1,0.15967412167356684,2.7755575615628914e-17,0.15967412167356682,0.15967412167356682,0.15967412167356682,0.04613867195387145,0.034732220070796335,0.0038113986096782043,0.038823234176934056,0.11249078466349872
100,1,2,0.16890368917869825,0.012142746391690258,0.15971592858303427,0.16440270353355135,0.19395116048665542,0.07341907087447001,0.03898935334894191,0.01812294035697417,0.06972042116274971,0.1445273000302001
100,2,3,0.1778639289260295,0.01674268341547165,0.16054657031628453,0.17313884571362745,0.21198210709526036,0.09297326181279578,0.03916086943885482,0.03405596438105673,0.08923114389955208,0.1645855996610614
100,4,5,0.1951492224311209,0.02206866035483346,0.16721888303540688,0.1912665318294064,0.2364826984197599,0.12298514051498367,0.039898168884264375,0.06117267392972695,0.1209478511276013,0.19414322749374374
100,8,9,0.22484077628324603,0.0259666397282433,0.1871827087392668,0.2219698909267765,0.2727219242342189,0.16959546086602564,0.03978731263674593,0.10707169605880813,0.1687507019168397,0.2376826845617588
100,16,17,0.2769050490949232,0.03101860506698746,0.22899771803762106,0.27565850519164764,0.3291553665707177,0.23414357405922814,0.03998741464958678,0.1695205751918897,0.23235159200357214,0.3024053994333806
120,0,1,0.2717137184817751,1.1102230246251565e-16,0.2717137184817752,0.2717137184817752,0.2717137184817752,0.046419135484303965,0.03496094495357028,0.003126018312313305,0.03945847954710412,0.11555990828961175
120,1,2,0.2775125213795494,0.007477240591886698,0.2717421984651319,0.27454783601452193,0.29243736877763793,0.0729926690021676,0.0384536491035777,0.017988892687251,0.06930802326157819,0.14179308884973021
120,2,3,0.2826721630447007,0.010556893307627414,0.2723782992621223,0.2796356673667918,0.3043498850929597,0.09374759713004387,0.039088512750645045,0.03466018212424361,0.08998495808583462,0.15994426104265255
120,4,5,0.29370174094020807,0.014519520760468377,0.2761045542419552,0.2908043985736105,0.32191193562668285,0.12399556031454856,0.03990685266725222,0.0646374082727257,0.12119805240288278,0.19263070336730204
120,8,9,0.31364248480266266,0.01858033068384487,0.28661269008455054,0.3119996990309376,0.3477728319512896,0.1681943835832048,0.0393200397401759,0.10766303124468746,0.16615581884673541,0.2350695027789424
120,16,17,0.35082374840029046,0.02472469292684609,0.31420426616969344,0.3492997896344786,0.3950187900131947,0.23578464354817377,0.040454169586637063,0.1713830557206515,0.23641383464809573,0.3012350315446637
