job_id	partition	rk4_steps	learning_rate	output_dir
31855	Students	64	0.003	/home/scc/pb24511935/local_surface_evaluator_worktrees/qh-blackbox-gradient/runs/qh_physical_gradient_adam_start10_sweep_20260804/rk4_064_lr_0p003
31856	Students	64	0.1	/home/scc/pb24511935/local_surface_evaluator_worktrees/qh-blackbox-gradient/runs/qh_physical_gradient_adam_start10_sweep_20260804/rk4_064_lr_0p1
31857	Students	128	0.01	/home/scc/pb24511935/local_surface_evaluator_worktrees/qh-blackbox-gradient/runs/qh_physical_gradient_adam_start10_sweep_20260804/rk4_128_lr_0p01
31858	Students	256	0.003	/home/scc/pb24511935/local_surface_evaluator_worktrees/qh-blackbox-gradient/runs/qh_physical_gradient_adam_start10_sweep_20260804/rk4_256_lr_0p003
31859	Students	256	0.05	/home/scc/pb24511935/local_surface_evaluator_worktrees/qh-blackbox-gradient/runs/qh_physical_gradient_adam_start10_sweep_20260804/rk4_256_lr_0p05
31860	P107	64	0.01	/home/scc/pb24511935/local_surface_evaluator_worktrees/qh-blackbox-gradient/runs/qh_physical_gradient_adam_start10_sweep_20260804/rk4_064_lr_0p01
31861	P107	64	0.03	/home/scc/pb24511935/local_surface_evaluator_worktrees/qh-blackbox-gradient/runs/qh_physical_gradient_adam_start10_sweep_20260804/rk4_064_lr_0p03
31862	P107	64	0.05	/home/scc/pb24511935/local_surface_evaluator_worktrees/qh-blackbox-gradient/runs/qh_physical_gradient_adam_start10_sweep_20260804/rk4_064_lr_0p05
31863	P107	128	0.003	/home/scc/pb24511935/local_surface_evaluator_worktrees/qh-blackbox-gradient/runs/qh_physical_gradient_adam_start10_sweep_20260804/rk4_128_lr_0p003
31864	P107	128	0.03	/home/scc/pb24511935/local_surface_evaluator_worktrees/qh-blackbox-gradient/runs/qh_physical_gradient_adam_start10_sweep_20260804/rk4_128_lr_0p03
31865	P107	128	0.05	/home/scc/pb24511935/local_surface_evaluator_worktrees/qh-blackbox-gradient/runs/qh_physical_gradient_adam_start10_sweep_20260804/rk4_128_lr_0p05
31866	P107	128	0.1	/home/scc/pb24511935/local_surface_evaluator_worktrees/qh-blackbox-gradient/runs/qh_physical_gradient_adam_start10_sweep_20260804/rk4_128_lr_0p1
31867	P107	256	0.01	/home/scc/pb24511935/local_surface_evaluator_worktrees/qh-blackbox-gradient/runs/qh_physical_gradient_adam_start10_sweep_20260804/rk4_256_lr_0p01
31868	P107	256	0.03	/home/scc/pb24511935/local_surface_evaluator_worktrees/qh-blackbox-gradient/runs/qh_physical_gradient_adam_start10_sweep_20260804/rk4_256_lr_0p03
31869	P107	256	0.1	/home/scc/pb24511935/local_surface_evaluator_worktrees/qh-blackbox-gradient/runs/qh_physical_gradient_adam_start10_sweep_20260804/rk4_256_lr_0p1
