run_name,learning_rate,beta1,random_directions_k,total_directions_per_step,initial_score,final_score,best_score,score_gain,best_iteration,accepted_steps,adam_accepted_steps,probe_accepted_steps,branch_accepted_steps,rejected_steps,g3_valid_steps,valid_direction_count,valid_direction_fraction,evaluated_directions,blackbox_score_calls,score_calls_per_direction,total_wall_s,mean_iteration_wall_s,best_qh_error,best_qa_error,best_qp_error,best_iota,best_surface_level,best_component_axis,best_component_psi,best_component_surface,best_component_coordinate,best_component_volume_qs,best_component_iota,best_component_coil
lr_0p03_b1_0p7_k_2,0.03,0.7,2,3,85.83967989612671,92.68473769100156,92.68473769100156,6.8450577948748474,87,64,28,34,2,36,66,262,0.8733333333333333,300,1035,3.45,7254.9334388880525,72.36147700757836,0.010666886684298084,0.11254882219473916,0.028106008373902844,1.6023973226547241,0.36,97.19940143136068,98.54547817091117,97.86014683783665,89.34068963279425,93.59560132337263,100.0,63.50016909868461
lr_0p01_b1_0p7_k_1,0.01,0.7,1,2,85.83967989612673,92.2975244646702,92.2975244646702,6.457844568543479,100,59,40,16,3,41,79,174,0.87,200,749,3.745,5253.910985114984,52.3465540920035,0.012160775385177357,0.11104536470771557,0.027732520458394434,1.5395770072937012,0.36,96.6632359556106,98.51134740872652,96.4320006040135,88.8729980395248,92.88449891453635,100.0,65.47595899721755
lr_0p01_b1_0p5_k_2,0.01,0.5,2,3,85.83967989612673,92.19102464499123,92.19102464499123,6.351344748864506,97,79,54,14,11,21,53,208,0.6933333333333334,300,952,3.1733333333333333,6867.150170730078,68.4783368434268,0.012437709432584553,0.11045675785414426,0.027667004208894525,1.5212630033493042,0.36,95.89973896688207,98.60877119150861,97.05802397577253,88.46797194251144,92.70633521378039,100.0,65.63641559420003
lr_0p03_b1_0p5_k_1,0.03,0.5,1,2,85.83967989612671,92.17753345046329,92.17753345046329,6.337853554336576,100,47,15,30,2,53,96,195,0.975,200,823,4.115,5842.145111083984,58.227962392809566,0.012828794778228564,0.11090510118656334,0.02770802480819275,1.534354567527771,0.36,96.43591405138343,98.49301889223118,96.47423103687491,88.55734504247991,92.5706539161958,100.0,66.27259879205151
lr_0p01_b1_0p9_k_2,0.01,0.9,2,3,85.83967989612673,90.82848783437517,90.82848783437517,4.988807938248442,100,72,37,30,5,28,51,198,0.66,300,963,3.21,6982.495438646991,69.63144147783751,0.021163155504289113,0.1127392471502964,0.027979580306720694,1.4158536195755005,0.36,95.89958545878685,98.46960684261052,97.30896731857376,88.01699067862387,88.80251967884591,100.0,69.52393174250471
lr_0p03_b1_0p9_k_1,0.03,0.9,1,2,85.83967989612673,90.82763455856477,90.82763455856477,4.987954662438042,100,49,15,27,7,51,80,172,0.86,200,815,4.075,5868.823890025029,58.497189564151924,0.020385481714797142,0.10970808067726033,0.02729087922999817,1.3992599248886108,0.36,95.73736875677008,98.58369969887367,96.43661372368479,88.08750300747441,89.0761875975881,100.0,69.13896561121817
lr_0p03_b1_0p9_k_2,0.03,0.9,2,3,85.8396798961267,90.77541151386765,90.77541151386765,4.935731617740956,96,53,14,36,3,47,89,275,0.9166666666666666,300,1036,3.453333333333333,7538.856937558041,75.19858789879828,0.021964022057337534,0.11429214882122743,0.02830993269219202,1.4262285232543945,0.36,95.9480298409158,98.58683213392383,97.66326413953831,88.35463652904245,88.50258060903768,100.0,69.36314242162227
lr_0p03_b1_0p7_k_1,0.03,0.7,1,2,85.83967989612673,90.7298571980808,90.7298571980808,4.890177301954068,97,47,13,34,0,53,81,173,0.865,200,811,4.055,5905.677685789065,58.865651736358416,0.021283006074192617,0.11299324404694135,0.02807502223192935,1.4009983539581299,0.36,95.86012930678652,98.52792208159657,96.62796579468029,88.05177644386121,88.71264577421482,100.0,69.54708262772643
lr_0p01_b1_0p9_k_1,0.01,0.9,1,2,85.83967989612673,90.64340784708274,90.64340784708274,4.8037279509560165,100,56,33,15,8,44,63,152,0.76,200,763,3.815,5463.604128213949,54.44259619702236,0.021398491325023507,0.11099266737740378,0.02758070570266636,1.3963698148727417,0.36,95.69109335577285,98.57495951187988,96.29804180655486,87.98283231620997,88.64097680407271,100.0,69.49381112913059
lr_0p01_b1_0p7_k_2,0.01,0.7,2,3,85.83967989612673,90.38870154142934,90.38870154142934,4.549021645302616,100,46,28,13,5,54,21,124,0.41333333333333333,300,881,2.9366666666666665,6340.180240939953,63.21040161461337,0.023630915837400315,0.11372634069129935,0.02812910280931229,1.417906403541565,0.36,95.84117945871637,98.47689057974853,97.16839815381252,87.95693826268844,87.80695757506001,100.0,69.56798393009458
lr_0p03_b1_0p5_k_2,0.03,0.5,2,3,85.83967989612673,90.02965073719051,90.02965073719051,4.189970841063783,78,53,7,44,2,47,97,293,0.9766666666666667,300,1050,3.5,7493.9531298510265,74.75025216624141,0.026358005547836343,0.1151211346129742,0.028316785757158788,1.4210143089294434,0.36,96.09152786661562,98.47120956566424,97.2925769047382,88.08588875963007,86.78270389881591,100.0,69.83493487528756
lr_0p03_b1_0p9_k_0,0.03,0.9,0,1,85.8396798961267,89.51303695697415,89.51303695697415,3.673357060847451,4,4,4,0,0,96,100,100,1.0,100,601,6.01,4536.972298940062,45.069324465498795,0.02884712006097064,0.11566298526046735,0.028321026564642585,1.406944990158081,0.36,96.00295505172075,98.30840442102988,96.78444790828749,87.61837242311589,85.8296523306849,100.0,69.91456247088858
lr_0p03_b1_0p7_k_0,0.03,0.7,0,1,85.83967989612673,89.50133731326892,89.50133731326892,3.6616574171421945,4,4,4,0,0,96,100,100,1.0,100,601,6.01,4573.837916899007,45.54427283703815,0.028762710895315957,0.11555281487557509,0.028309507176777115,1.4027074575424194,0.36,95.9716221538321,98.32516543367248,96.54743515952944,87.66054904609811,85.84414113150129,100.0,69.9540107340646
lr_0p03_b1_0p5_k_0,0.03,0.5,0,1,85.8396798961267,89.48381989795396,89.48381989795396,3.6441400018272674,4,4,4,0,0,96,4,4,0.04,100,217,2.17,1566.6655695090303,15.475602342946223,0.028743311140137794,0.11543360401299069,0.028294105971796386,1.3981540203094482,0.36,95.93128784224436,98.35004695183987,96.27496305238569,87.80684992376764,85.83427112143049,100.0,69.96389062411743
lr_0p01_b1_0p9_k_0,0.01,0.9,0,1,85.83967989612673,89.34746084738615,89.34746084738615,3.50778095125942,8,8,8,0,0,92,100,100,1.0,100,590,5.9,4434.670875019976,44.14126978329848,0.02966902658284509,0.11592714063549137,0.02835139808528208,1.400826334953308,0.36,96.00074390349471,98.30741755052436,96.41568441495568,87.6518500223439,85.50575373934532,100.0,69.96843359661567
lr_0p01_b1_0p7_k_0,0.01,0.7,0,1,85.83967989612671,89.32293785487147,89.32293785487147,3.4832579587447583,10,10,8,2,0,90,10,10,0.1,100,233,2.33,1701.425766172004,16.824667547617572,0.029466728442109725,0.11558108343262898,0.028299918225306774,1.3951177597045898,0.36,95.89222027627432,98.35298111275549,95.9690805854166,87.73181530441654,85.550251839552,100.0,69.96527942966672
lr_0p01_b1_0p5_k_0,0.01,0.5,0,1,85.83967989612673,89.29223275891636,89.29223275891636,3.4525528627896307,9,9,9,0,0,91,9,9,0.09,100,227,2.27,1652.3681039189687,16.333355595724424,0.029836420808510934,0.11575926701474197,0.028323407530160053,1.3945846557617188,0.36,96.07491630323102,98.37258875462086,95.91436004122153,87.86573420790145,85.41046031876166,100.0,69.96349367923705
