case_id,trajectory_id,iteration,nfp,n_base_coils,surface_name,target_s,accepted,solved_regular,native_global_qh,native_edge_shell_qh,equal_s_status,equal_s_area_qh,equal_s_raw_qh,equal_s_normal_rms,equal_s_normal_p95,equal_s_s_residual_rms,equal_s_root_residual_max,equal_s_root_valid,equal_s_area_ess,equal_s_wall_s,face_qh,face_iota,equal_s_iota
p107_37034_0_000001_step0000,p107_37034_0_000001,0,5,3,fixed_probe,0.28888723952481704,True,True,0.022851814083378646,nan,ok,0.22916901008936477,1.1685372543564128,5.140039329819315e-06,9.820857608506191e-06,1.0927062556827384e-14,6.389333506717776e-14,True,0.9436495715274181,0.7738788202404976,0.00021771073601029793,1.1826612682771338,1.1841921787872314
p107_37034_0_000001_step0000,p107_37034_0_000001,0,5,3,adaptive_edge,0.4513863117575266,True,True,0.022851814083378646,0.0239253121602437,ok,0.2693077237443955,1.3732053385339273,6.096053209590328e-06,1.2400712267211708e-05,7.138626819749881e-14,4.671818487622659e-13,True,0.9437643501891174,0.7697663716971874,0.00023230584463700558,1.18457735113082,1.1902852058410645
p107_37034_0_000001_step0010,p107_37034_0_000001,10,5,3,fixed_probe,0.28888723952481704,True,True,0.011533392292110029,nan,ok,0.18409394641719443,0.9386986251155789,7.110671042319511e-06,1.2586040020802947e-05,2.4451763034495547e-14,1.8568480086855743e-13,True,0.9286153989810214,0.7776532433927059,3.106942614304528e-05,1.3628010018357755,1.36389183578788
p107_37034_0_000001_step0010,p107_37034_0_000001,10,5,3,adaptive_edge,0.4388455783635096,True,True,0.011533392292110029,0.012727812546055066,ok,0.22360129182183497,1.140147350264091,7.856291733243214e-06,1.3406194831670367e-05,1.3082606547961787e-13,9.377498777496385e-13,True,0.9285305048814775,0.7778396345674992,3.733426474218845e-05,1.3644546351634363,1.370236337184906
p107_37034_0_000001_step0025,p107_37034_0_000001,25,5,3,fixed_probe,0.28888723952481704,True,True,0.005668635144247358,nan,ok,0.16627388415117986,0.847833779887732,1.1194853675613267e-05,1.981197348163132e-05,6.472692098357762e-14,4.37927472063393e-13,True,0.9098486090918703,0.778482511639595,5.187401219990343e-06,1.475909321989314,1.4763336489365473
p107_37034_0_000001_step0025,p107_37034_0_000001,25,5,3,adaptive_edge,0.4161520136845707,True,True,0.005668635144247358,0.0069124585767089885,ok,0.200068909472364,1.0201552734628123,1.0983408204717375e-05,1.8010160035660646e-05,2.0487228758528497e-05,0.0009665233549824293,False,0.9095456003060086,0.7719577215611935,7.757567492821819e-06,1.477250214929363,1.4810872673988342
p107_37034_0_000001_step0050,p107_37034_0_000001,50,5,3,fixed_probe,0.28888723952481704,True,True,0.0037906673803194562,nan,ok,0.16220649374293958,0.8270940768267149,9.377590832971591e-06,1.833485993354178e-05,7.142273100668808e-14,5.927480728473711e-13,True,0.9095529205664421,0.7761752903461456,2.341296778289594e-06,1.5056870160000113,1.5066107604983463
p107_37034_0_000001_step0050,p107_37034_0_000001,50,5,3,adaptive_edge,0.4274759927603925,True,True,0.0037906673803194562,0.004876883628290119,ok,0.19803212888259455,1.009769689490671,8.899650048124401e-06,1.5567311142588828e-05,1.1632239329275684e-15,2.7755575615628914e-16,True,0.9092687759446734,0.7683382332324982,3.7572520198915735e-06,1.507302544867335,1.5117443799972534
p107_37034_0_000001_step0075,p107_37034_0_000001,75,5,3,fixed_probe,0.28888723952481704,True,True,0.0029079292252670117,nan,ok,0.16035412874074986,0.817648831534253,8.03951125173921e-06,1.698299380224013e-05,3.144184649229325e-14,2.496891582381977e-13,True,0.9097764252773786,0.785079836845398,1.1393738050662039e-06,1.520695548653589,1.5221418222052068
p107_37034_0_000001_step0075,p107_37034_0_000001,75,5,3,adaptive_edge,0.4383402788138604,True,True,0.0029079292252670117,0.003700903673053179,ok,0.1981590480717678,1.0104168529129145,7.336645307157757e-06,1.3203544121836276e-05,1.172847234868162e-15,2.7755575615628914e-16,True,0.9096482602488675,0.7767480723559856,1.8192135710204326e-06,1.52255069916575,1.5282981991767883
p107_37034_0_000001_step0100,p107_37034_0_000001,100,5,3,fixed_probe,0.28888723952481704,True,True,0.002161832749324115,nan,ok,0.15911473358653636,0.8113291314578661,7.09312830853051e-06,1.593300739701915e-05,1.8073352609467844e-14,1.4116485758108865e-13,True,0.910616082220565,0.7841274365782738,5.159913697916191e-07,1.5396183535922203,1.5410776965663917
p107_37034_0_000001_step0100,p107_37034_0_000001,100,5,3,adaptive_edge,0.43891657284405367,True,True,0.002161832749324115,0.0027163307463499856,ok,0.1966674699949857,1.0028112671933556,5.821717980260993e-06,1.093342796007482e-05,1.1699166624220322e-15,2.7755575615628914e-16,True,0.9105400292210072,0.7687043435871601,8.190045957441489e-07,1.5416806108062802,1.548452615737915
p107_37034_0_000001_step0150,p107_37034_0_000001,150,5,3,fixed_probe,0.28888723952481704,True,True,0.001408267499756045,nan,ok,0.15742361653946185,0.8027060926350638,7.114406927062199e-06,1.5116809522418113e-05,1.3920833913343299e-14,9.303668946358812e-14,True,0.9144614614777834,0.7669047079980373,3.168635818496813e-07,1.5852103827584196,1.5887103308474637
p107_37034_0_000001_step0150,p107_37034_0_000001,150,5,3,adaptive_edge,0.4762173645609015,True,True,0.001408267499756045,0.0018138615456485183,ok,0.2028085317769334,1.0341246610536856,6.001158264046507e-06,1.1639261672290391e-05,1.5027037399889775e-05,0.0006325744546997747,False,0.9143394678429396,0.786129605025053,6.017809294515138e-07,1.5884003676289558,1.59665846824646
p107_37034_0_000001_step0200,p107_37034_0_000001,200,5,3,fixed_probe,0.28888723952481704,True,True,0.0011567734784587063,nan,ok,0.15842431581215355,0.8078086777537569,7.494224959250308e-06,1.543280880411191e-05,1.9759606722563313e-14,1.4765966227514582e-13,True,0.9215219611242862,0.7709807306528091,4.131484997078689e-07,1.6255770501656084,1.630270117673869
p107_37034_0_000001_step0200,p107_37034_0_000001,200,5,3,adaptive_edge,0.49485913149413385,True,True,0.0011567734784587063,0.0014615910626622577,ok,0.20818816472081017,1.0615555144104798,7.042940248801359e-06,1.4150209476629251e-05,2.452082486256404e-05,0.0011218118947614597,False,0.9213421591542796,0.7714623734354973,6.056789460130579e-07,1.630041205702361,1.6391488313674927
p107_37034_0_000003_step0000,p107_37034_0_000003,0,4,2,fixed_probe,0.06479792384918319,True,True,0.02975337920359664,nan,ok,0.20437198746736965,0.8426472912453739,9.507524835106886e-05,0.00019973270479186722,4.973446552039287e-16,4.163336342344337e-17,True,0.7488776697606305,0.7721445187926292,0.0002737121311593806,1.443823306836913,1.4120362977676393
p107_37034_0_000003_step0000,p107_37034_0_000003,0,4,2,adaptive_edge,0.10124675601434871,True,True,0.02975337920359664,0.031664568667731825,ok,0.21940214756849774,0.9046182289122693,0.00013715022967729875,0.00026244543429666605,6.323571226155446e-16,8.326672684688674e-17,True,0.7292131985900926,0.7673442848026752,0.0003079182439492108,1.4384512736475166,1.4116023480892181
