accepted,alpha_normal_floor_l2,alpha_nu_wall_s,alpha_validation_l2,alpha_wall_s,case_id,check_dense_normal_field_p95,check_dense_relative_l2,check_normal_nonzero,check_solver_converged,check_toroidal_winding,cpu_solve_status,cpu_solve_wall_s,face_iota,face_qa,face_qh,face_qp,final_boozer_l2,final_dense_l2,final_normal_p95,has_acceptance_checks,initial_boozer_l2,initial_iota,inverse_aspect_ratio,iota_abs_error,iota_relative_error,iteration,n_base_coils,native_iota_mid,native_psi_angle_l2,native_psi_angle_p95,native_psi_train_rms,native_qa,native_qh,native_qp,native_score,nfp,optimizer_wall_s,prepare_failure_stage,prepare_status,prepare_wall_s,solved_regular,source_psi_angle_l2,source_psi_angle_p95,source_psi_train_rms,source_psi_validation_rms,source_psi_wall_s,surface_name,target_s,trajectory_id,validation_status,validation_wall_s,volume_m3
True,8.08826018325813e-06,58.68035214394331,0.0615456979321512,94.9636239670217,p107_37034_0_000001_step0000,True,True,True,True,True,ok,7.798376814927906,1.1826612682771338,0.0020138649769725434,0.00021771073601029793,0.0018860331264788227,7.893697508435882e-06,7.893697508435882e-06,1.028026234688985e-05,True,0.00044906679900600234,1.1841921787872314,0.02792679213943294,0.0015309105100975717,0.0012944623715696356,0,3,1.1615662948157437,5.195350339880044e-06,1.5960050464401287e-05,0.00013869635877501176,0.22683400317787467,0.022851814083378646,0.03934358402814114,81.184290088714,5,0.0,none,ok,160.2861854583025,True,5.069236928172858e-06,1.56866604967015e-05,0.00013872206017517304,0.00013895619123321107,6.638201147317886,fixed_probe,0.28888723952481704,p107_37034_0_000001,accepted,1.2890122570097446,0.016656949320545542
True,8.08826018325813e-06,58.68035214394331,0.0615456979321512,94.9636239670217,p107_37034_0_000001_step0000,True,True,True,True,True,ok,9.70548837305978,1.18457735113082,0.003071817407938788,0.00023230584463700558,0.0029842594595121934,1.088992067679833e-05,1.088992067679833e-05,1.4187782729677915e-05,True,0.004138129173685317,1.1902852058410645,0.035117256074584234,0.0057078547102444865,0.004818473614066367,0,3,1.1615662948157437,5.195350339880044e-06,1.5960050464401287e-05,0.00013869635877501176,0.22683400317787467,0.022851814083378646,0.03934358402814114,81.184290088714,5,0.0,none,ok,160.2861854583025,True,5.069236928172858e-06,1.56866604967015e-05,0.00013872206017517304,0.00013895619123321107,6.638201147317886,adaptive_edge,0.4513863117575266,p107_37034_0_000001,accepted,1.1542305499315262,0.02634969381598147
True,1.0408390934331793e-05,58.60126540437341,0.0642140923769054,94.74464574828744,p107_37034_0_000001_step0010,True,True,True,True,True,ok,7.946013099048287,1.3628010018357755,0.0018054015412879622,3.106942614304528e-05,0.0018370936279719704,2.1345498097942037e-06,2.1345498097942037e-06,3.2587665227650685e-06,True,0.0003580206683493155,1.36389183578788,0.027277501977596482,0.0010908339521045196,0.0008004352437627359,10,3,1.3409893110269784,6.668272433599858e-06,1.9664757280393456e-05,0.00018246386551640516,0.19968427875649294,0.011533392292110029,0.038448964704076216,85.89638214094988,5,64.62104082107544,none,ok,160.02273732423782,True,6.5939299708517185e-06,1.9579355925371868e-05,0.00018262485968997943,0.00018376949634271836,6.6725598610937595,fixed_probe,0.28888723952481704,p107_37034_0_000001,accepted,1.2818946540355682,0.016070042169917764
True,1.0408390934331793e-05,58.60126540437341,0.0642140923769054,94.74464574828744,p107_37034_0_000001_step0010,True,True,True,True,True,ok,10.133590445155278,1.3644546351634363,0.0027611163825575725,3.733426474218845e-05,0.0028208558033164287,2.7191675066634113e-06,2.7191675066634113e-06,4.114022233224532e-06,True,0.004811734886291258,1.370236337184906,0.03379241331192841,0.005781702021469659,0.004237372113714223,10,3,1.3409893110269784,6.668272433599858e-06,1.9664757280393456e-05,0.00018246386551640516,0.19968427875649294,0.011533392292110029,0.038448964704076216,85.89638214094988,5,64.62104082107544,none,ok,160.02273732423782,True,6.5939299708517185e-06,1.9579355925371868e-05,0.00018262485968997943,0.00018376949634271836,6.6725598610937595,adaptive_edge,0.4388455783635096,p107_37034_0_000001,accepted,1.1678538508713245,0.024674162460750236
True,1.4418836399966186e-05,58.943843115121126,0.0761239674133835,94.76367100328207,p107_37034_0_000001_step0025,True,True,True,True,True,ok,6.402781120035797,1.475909321989314,0.0017451604660758575,5.187401219990343e-06,0.001780330980630547,2.369080969678683e-06,2.369080969678683e-06,3.993399525309282e-06,True,0.0007300125284548406,1.4763336489365473,0.02710315793792364,0.0004243269472332667,0.0002875020442728384,25,3,1.4477309938853047,8.403495032960108e-06,2.7739382292018957e-05,0.00023678719991505204,0.18665681724744757,0.005668635144247358,0.03701673749983617,89.05041191545286,5,156.45621404610574,none,ok,161.119754973799,True,8.088110078066077e-06,2.725804583692844e-05,0.00023662077079001137,0.00023822730273162163,7.408053133636713,fixed_probe,0.28888723952481704,p107_37034_0_000001,accepted,1.2969612404704094,0.01594969433284485
True,1.4418836399966186e-05,58.943843115121126,0.0761239674133835,94.76367100328207,p107_37034_0_000001_step0025,True,True,True,True,True,ok,9.317163881845772,1.477250214929363,0.0025416610833243155,7.757567492821819e-06,0.0025933595082057812,2.8472825321574956e-06,2.8472825321574956e-06,4.8116451968966495e-06,True,0.00509078164472179,1.4810872673988342,0.03270354697099233,0.0038370524694713026,0.002597428946493521,25,3,1.4477309938853047,8.403495032960108e-06,2.7739382292018957e-05,0.00023678719991505204,0.18665681724744757,0.005668635144247358,0.03701673749983617,89.05041191545286,5,156.45621404610574,none,ok,161.119754973799,True,8.088110078066077e-06,2.725804583692844e-05,0.00023662077079001137,0.00023822730273162163,7.408053133636713,adaptive_edge,0.4161520136845707,p107_37034_0_000001,accepted,1.1612348891794682,0.023231967673984846
True,1.3971444173555303e-05,57.63622462749481,0.07928655244809005,94.12178281322122,p107_37034_0_000001_step0050,True,True,True,True,True,ok,7.806930194143206,1.5056870160000113,0.0017252532589371572,2.341296778289594e-06,0.0017543731544719238,2.2103831132600024e-06,2.2103831132600024e-06,2.9066821535777396e-06,True,0.0005322049774229516,1.5066107604983463,0.026818967653594837,0.0009237444983349885,0.0006135036621282663,50,3,1.4750042614892007,6.456101919312831e-06,2.5111274013676228e-05,0.00019266605156150054,0.18722629098264476,0.0037906673803194562,0.037311210791364534,90.62251963978649,5,318.7135888170451,none,ok,158.9977046996355,True,6.060126376744152e-06,2.5228847248002106e-05,0.00019264396947183277,0.00019304282531046348,7.2341690845787525,fixed_probe,0.28888723952481704,p107_37034_0_000001,accepted,1.2828644625842571,0.015663585406216377
True,1.3971444173555303e-05,57.63622462749481,0.07928655244809005,94.12178281322122,p107_37034_0_000001_step0050,True,True,True,True,True,ok,9.813144870102406,1.507302544867335,0.002575409409769069,3.7572520198915735e-06,0.0026191856044112446,2.6258084758734767e-06,2.6258084758734767e-06,3.7285883089742625e-06,True,0.006023774305581943,1.5117443799972534,0.03276063348850628,0.00444183512991847,0.0029468769525028684,50,3,1.4750042614892007,6.456101919312831e-06,2.5111274013676228e-05,0.00019266605156150054,0.18722629098264476,0.0037906673803194562,0.037311210791364534,90.62251963978649,5,318.7135888170451,none,ok,158.9977046996355,True,6.060126376744152e-06,2.5228847248002106e-05,0.00019264396947183277,0.00019304282531046348,7.2341690845787525,adaptive_edge,0.4274759927603925,p107_37034_0_000001,accepted,1.1685377769172192,0.02338339592059491
True,1.341275455592772e-05,58.122320756316185,0.08005778732139553,93.85374325886369,p107_37034_0_000001_step0075,True,True,True,True,True,ok,6.4966411660425365,1.520695548653589,0.001710623316081363,1.1393738050662039e-06,0.0017373467044009357,2.0951374964732637e-06,2.0951374964732637e-06,1.932405066973709e-06,True,0.0003795003379380162,1.5221418222052068,0.026649960468451316,0.0014462735516178604,0.0009510605544274651,75,3,1.4900279843977573,5.589258567947184e-06,2.3105815109938638e-05,0.00017199875967191267,0.18842579265434373,0.0029079292252670117,0.03759485885328517,91.44474597843598,5,474.4285843614489,none,ok,158.4014617614448,True,5.2523065682892785e-06,2.3318034405878004e-05,0.00017204385653555386,0.00017177234245032208,6.4209436029195786,fixed_probe,0.28888723952481704,p107_37034_0_000001,accepted,1.2663153000175953,0.015495350984212095
True,1.341275455592772e-05,58.122320756316185,0.08005778732139553,93.85374325886369,p107_37034_0_000001_step0075,True,True,True,True,True,ok,9.417920622043312,1.52255069916575,0.0026144098227932405,1.8192135710204326e-06,0.002655381629756521,2.401159117570095e-06,2.401159117570095e-06,2.614597997969709e-06,True,0.005207174076064988,1.5282981991767883,0.032939670622204875,0.005747500011038298,0.003774915353680847,75,3,1.4900279843977573,5.589258567947184e-06,2.3105815109938638e-05,0.00017199875967191267,0.18842579265434373,0.0029079292252670117,0.03759485885328517,91.44474597843598,5,474.4285843614489,none,ok,158.4014617614448,True,5.2523065682892785e-06,2.3318034405878004e-05,0.00017204385653555386,0.00017177234245032208,6.4209436029195786,adaptive_edge,0.4383402788138604,p107_37034_0_000001,accepted,1.1647720746695995,0.02368340210805645
