case_id,trajectory_id,nfp,n_base_coils,initial_score,initial_score_abs_difference,latent_best,data_best,latent_gain,data_gain,best_difference,latent_wall_s,data_wall_s
p107_37034_3_000046_start,p107_37034_3_000046,5,2,80.49446813713931,1.4210854715202004e-14,87.04736904395529,88.17469026540651,6.552900906815964,7.680222128267204,-1.1273212214512256,277.8307111263275,177.13833890855312
p107_37034_0_000012_start,p107_37034_0_000012,4,3,78.20358092668211,2.842170943040401e-14,86.64907316602677,87.67602869377671,8.445492239344645,9.472447767094621,-1.0269555277499478,291.1786513142288,193.6805238649249
student_37035_0_000049_start,student_37035_0_000049,3,4,69.84008119313387,0.0,76.49972626656974,82.72697962329741,6.659645073435868,12.88689843016354,-6.227253356727672,292.8457813896239,185.08207238093019
p107_37034_0_000028_start,p107_37034_0_000028,4,4,80.39247097031165,0.011575905758647309,86.17472924388525,88.2972140403718,5.788046226452934,7.898955117180833,-2.122484796486546,332.06477565318346,222.75797728449106
p107_37034_0_000039_start,p107_37034_0_000039,5,3,79.83948622317078,4.263256414560601e-14,86.39885591322185,86.62167170386968,6.559369690051085,6.782185480698871,-0.22281579064782875,318.0063066445291,221.80794373899698
student_37035_1_000016_start,student_37035_1_000016,3,3,50.894796860929986,5.684341886080801e-13,72.28578733378663,82.18410429908776,21.39099047285636,31.289307438158062,-9.898316965301134,276.85379929840565,163.94530964642763
p107_37034_0_000011_start,p107_37034_0_000011,4,2,77.91799946026524,0.0,86.49297391340997,85.06753533743392,8.574974453144733,7.149535877168688,1.4254385759760453,261.0032980777323,152.99477254599333
p107_37034_0_000024_start,p107_37034_0_000024,3,5,75.52092394369924,0.005366333367149423,84.04301974346802,81.85567155775924,8.524778966452345,6.3320644473764105,2.1873481857087853,337.5771780088544,300.31113397330046
p107_37034_1_000001_start,p107_37034_1_000001,5,4,77.79125949483881,0.0182643508202176,84.5636446132246,85.05043645949334,6.763252942975669,7.2683091400646305,-0.48679184626874417,302.9693538956344,263.9164957366884
p107_37034_2_000018_start,p107_37034_2_000018,2,5,29.315143056953332,0.012357177414337173,42.26195406201291,51.72253502936272,12.952989593766748,22.401213383702217,-9.460580967349806,769.7450382746756,329.6903462037444
student_37035_1_000031_start,student_37035_1_000031,3,2,74.26509557264515,0.0003347122801500291,79.58566838903812,83.07681079540352,5.32074017253305,8.811547866618298,-3.491142406365398,247.7697865627706,137.14807377383113
p107_37034_1_000027_start,p107_37034_1_000027,2,4,27.344110054492486,0.0029312463384343346,28.888155288501594,27.34264443132327,1.5425796108398906,0.0,1.545510857178325,820.0762761048973,280.001155693084
p107_37034_2_000024_start,p107_37034_2_000024,4,5,77.48780754696449,0.0027237486642803788,86.20349816699708,86.00643068802717,8.717052494364722,8.517261266730529,0.19706747896991317,386.8705346174538,272.42994624748826
p107_37034_3_000038_start,p107_37034_3_000038,7,2,75.05186354184474,1.4210854715202004e-14,86.50963231228857,82.58737582344399,11.457768770443835,7.535512281599267,3.9222564888445817,298.51106724888086,207.30325120687485
p107_37034_0_000007_start,p107_37034_0_000007,6,2,71.36651564524979,0.0056281902362655956,80.98788410708009,85.46127573223791,9.61855436671216,14.097574182106243,-4.4733916251578165,285.2490029036999,190.34432358294725
p107_37034_2_000039_start,p107_37034_2_000039,2,3,22.941100737392247,0.0035260068801719058,30.457798416087854,51.321163811717355,7.518460682135693,28.37830007088502,-20.8633653956295,647.8859544172883,278.54202922061086
p107_37034_0_000040_start,p107_37034_0_000040,6,3,73.45754670090386,5.684341886080802e-14,80.35320930185576,85.41011354212188,6.895662600951923,11.952566841217987,-5.056904240266121,355.3084334023297,254.07689674198627
p107_37034_2_000046_start,p107_37034_2_000046,7,3,74.36992849939593,0.0,82.20313314932635,79.45935175758646,7.833204649930423,5.089423258190536,2.743781391739887,365.8948366045952,275.2233360372484
p107_37034_1_000042_start,p107_37034_1_000042,6,4,66.30416516789654,0.007906043216109992,82.58712790742098,82.16056406834663,16.28691576113249,15.852445878842033,0.4265638390743476,420.82666800916195,303.5456138253212
student_37035_0_000017_start,student_37035_0_000017,5,1,9.546387044049713,4.263256414560601e-14,15.317490015322257,69.30294899690345,5.771102971272565,59.756561952853716,-53.985458981581196,254.36929046735168,145.64650108665228
student_37035_1_000028_start,student_37035_1_000028,5,5,78.57228005725963,0.005146789158885667,85.94080991506166,86.25671308209805,7.365956463222588,7.687006419417855,-0.31590316703638166,409.46756583452225,317.2549794986844
p107_37034_2_000010_start,p107_37034_2_000010,2,2,12.694144310863173,0.0022767038093824965,42.51338562349006,29.46983713601003,29.82037966453158,16.77455447324217,13.043548487480027,306.9060976617038,153.46445467323065
p107_37034_3_000050_start,p107_37034_3_000050,7,1,75.1354143545379,5.684341886080802e-14,83.70047225072608,84.33170540603072,8.565057896188208,9.196291051492793,-0.631233155304642,254.05862910300493,145.490131508559
p107_37034_2_000026_start,p107_37034_2_000026,7,5,71.53816628853997,0.007371234106656743,80.03044611543568,81.83735617566035,8.495965443949046,10.295504270067056,-1.8069100602246664,506.7896171733737,427.01131554692984
p107_37034_3_000005_start,p107_37034_3_000005,8,1,78.96075600540988,1.4210854715202004e-14,82.54360119497629,85.00238442476616,3.5828451895664273,6.041628419356286,-2.458783229789873,253.71158520132303,149.74330012872815
p107_37034_3_000027_start,p107_37034_3_000027,8,2,76.49011749413437,2.842170943040401e-14,80.98704508266886,82.74052986654755,4.496927588534476,6.250412372413194,-1.7534847838786902,321.82246013358235,221.0020896717906
student_37035_1_000025_start,student_37035_1_000025,8,3,66.03180179930854,1.4210854715202004e-14,75.75434930138402,76.90421014730588,9.722547502075486,10.872408347997322,-1.1498608459218502,409.28712698817253,307.51092666760087
student_37035_0_000053_start,student_37035_0_000053,5,2,78.2189252310815,0.0,85.57973621024752,87.05823698547005,7.360810979166018,8.839311754388547,-1.4785007752225283,258.5091130398214,159.46269519254565
p107_37034_3_000039_start,p107_37034_3_000039,4,3,80.23546702931499,0.018948457103022065,85.7657874346145,85.39259621073192,5.520846176747995,5.166603409968445,0.3731912238825714,301.26910918205976,194.15460381656885
p107_37034_1_000016_start,p107_37034_1_000016,3,4,78.67977919222241,0.009404167896320814,87.2333406418274,87.59197294021554,8.558263533553145,8.907491664044969,-0.3586322983881445,304.9317508973181,195.0013131722808
p107_37034_0_000034_start,p107_37034_0_000034,4,4,74.35540448257332,0.01907608989694154,87.27325511798169,82.48209965918815,12.927388680356842,8.11715713166636,4.79115545879354,351.84317238628864,230.66396812722087
p107_37034_3_000051_start,p107_37034_3_000051,5,3,83.66477800269908,1.4210854715202004e-14,84.08478071850435,85.11914717166307,0.4200027158052535,1.4543691689639928,-1.034366453158725,322.336225155741,214.3830771110952
